,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.6101694915254237,0.6101694915254237,0.00456369898909705,0.6169220185279035,0.004341761239336559,0.6169220185279035,0.004341761239336583,0.5923728813559322,0.0,0.5979218842961002,0.0,0.5979218842961003,0.0,0.6076271186440678,0.0,0.5445447187446164,0.0,0.5445447187446164,0.0,528133,528133,1705358275,True,1,92e68072,2024-01-15_22-37-55,319.3908598423004,319.3908598423004,119805,1d43726c602a,172.17.0.2,319.3908598423004,1,,128,6,14,0.00023126029801422856,9.126422416736319e-06,92e68072
1,0.7190677966101695,0.7190677966101695,0.006355932203389833,0.7209356005363217,0.005952888430035341,0.7209356005363217,0.005952888430035332,0.6661016949152543,0.0,0.6704046029469394,0.0,0.6704046029469393,0.0,0.6559322033898305,0.0,0.5988656657447142,0.0,0.5988656657447142,0.0,247158,247158,1705358281,False,1,e4e92b0f,2024-01-15_22-38-01,317.7014081478119,317.7014081478119,119910,1d43726c602a,172.17.0.2,317.7014081478119,1,,128,3,17,0.00017781238317724342,3.1017538740271134e-06,e4e92b0f
2,0.6404237288135594,0.6404237288135594,0.005347047984524515,0.6460703983643971,0.005131680496993365,0.6460703983643971,0.005131680496993358,0.6093220338983051,0.0,0.6149114334581974,0.0,0.6149114334581974,0.0,0.5923728813559322,0.0,0.5336453314581746,0.0,0.5336453314581746,0.0,510410,510410,1705358154,False,1,0ef33210,2024-01-15_22-35-54,180.00204038619995,180.00204038619995,119952,1d43726c602a,172.17.0.2,180.00204038619995,1,,64,6,3,0.0002391378046704548,5.3695920749923525e-06,0ef33210
3,0.6638983050847458,0.6638983050847458,0.005636708185869789,0.6679030971665126,0.005387962685441831,0.6679030971665127,0.0053879626854418305,0.611864406779661,0.0,0.619178260675238,0.0,0.6191782606752381,0.0,0.6338983050847458,0.0,0.5671230103827792,0.0,0.5671230103827793,0.0,333696,333696,1705359589,True,1,063ffabd,2024-01-15_22-59-49,1608.8796627521515,1608.8796627521515,120004,1d43726c602a,172.17.0.2,1608.8796627521515,1,,128,4,7,1.661278496888612e-05,9.62843924910497e-06,063ffabd
4,0.6628813559322034,0.6628813559322034,0.0031206699389020455,0.6663423844778023,0.0031318013164441084,0.6663423844778023,0.003131801316444102,0.611864406779661,0.0,0.6169320617233913,0.0,0.6169320617233912,0.0,0.6050847457627119,0.0,0.5425265308613862,0.0,0.5425265308613862,0.0,435639,435639,1705358450,False,1,cc31e36c,2024-01-15_22-40-50,462.08406114578247,462.08406114578247,120051,1d43726c602a,172.17.0.2,462.08406114578247,1,,128,5,14,6.034475723327783e-05,6.133254877902066e-06,cc31e36c
5,0.5805084745762712,0.573050847457627,0.00595395527805096,0.5796972119991545,0.0057212259391182865,0.5796972119991544,0.005721225939118224,0.5805084745762712,0.0,0.586280418803055,0.0,0.5862804188030551,0.0,0.5296610169491526,0.0,0.48372699585094087,0.0,0.48372699585094087,0.0,612991,612991,1705358119,True,1,278f61cf,2024-01-15_22-35-19,125.19244170188904,125.19244170188904,120098,1d43726c602a,172.17.0.2,125.19244170188904,1,,64,7,10,0.0009986364756698796,7.255062419840675e-07,278f61cf
6,0.638728813559322,0.638728813559322,0.00410032895030609,0.6413197275650095,0.0038402727717825958,0.6413197275650095,0.0038402727717825966,0.5847457627118644,0.0,0.589939431464678,0.0,0.589939431464678,0.0,0.21949152542372882,0.0,0.13122741688716372,0.0,0.1312274168871637,0.0,622340,622340,1705358108,False,1,f089bc2a,2024-01-15_22-35-08,108.71475839614868,108.71475839614868,120145,1d43726c602a,172.17.0.2,108.71475839614868,1,,128,7,15,5.765995870546596e-05,8.850129178830706e-06,f089bc2a
7,0.7076271186440678,0.7076271186440678,0.009375807922670726,0.709771373554059,0.009278466604966786,0.7097713735540591,0.009278466604966784,0.6677966101694915,0.0,0.6715533962274617,0.0,0.6715533962274617,0.0,0.6491525423728813,0.0,0.584302910883624,0.0,0.5843029108836238,0.0,238815,238815,1705360107,True,1,af161ebe,2024-01-15_23-08-27,2098.101950407028,2098.101950407028,120192,1d43726c602a,172.17.0.2,2098.101950407028,1,,128,3,8,1.3529821373097091e-05,9.86091361471851e-06,af161ebe
8,0.6755084745762712,0.6755084745762712,0.006081062102003465,0.6777548029705259,0.005958776421859952,0.677754802970526,0.005958776421859959,0.6457627118644068,0.0,0.6516137967413898,0.0,0.6516137967413898,0.0,0.6398305084745762,0.0,0.5712129263823879,0.0,0.5712129263823879,0.0,237592,237592,1705359011,False,1,ec857d59,2024-01-15_22-50-11,994.488653421402,994.488653421402,120239,1d43726c602a,172.17.0.2,994.488653421402,1,,64,3,7,1.4441478874207853e-05,4.032960001657994e-06,ec857d59
9,0.6715254237288135,0.6715254237288135,0.004613782233497027,0.6745513751776749,0.004658260652181452,0.6745513751776748,0.00465826065218143,0.6237288135593221,0.0,0.6296327632825965,0.0,0.6296327632825965,0.0,0.6347457627118644,0.0,0.5694822146477136,0.0,0.5694822146477136,0.0,332389,332389,1705358393,False,1,0fe7e8fe,2024-01-15_22-39-53,369.44281029701233,369.44281029701233,120286,1d43726c602a,172.17.0.2,369.44281029701233,1,,128,4,6,0.0001650976398193441,8.223726066164166e-06,0fe7e8fe
