,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/m_lambda,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.7076591154261058,0.7076591154261058,0.0054527516531176325,0.7062743120558317,0.005635260859060947,0.7062743120558317,0.005635260859060957,0.6477885652642934,0.0,0.6471533631391045,0.0,0.6471533631391047,0.0,0.6386192017259978,0.0,0.6127920816383922,0.0,0.612792081638392,0.0,333696,333696,1703576999,False,1,9fe671a7,2023-12-26_07-49-59,426.37765741348267,426.37765741348267,20339,c6b012403c46,172.17.0.2,426.37765741348267,1,,129,1.3224553184925212,4,7,0.0004998335197407998,7.146659415978198e-06,9fe671a7
1,0.5339805825242718,0.5176375404530744,0.004395487105044085,0.5174831583051114,0.004324180321578915,0.5174831583051114,0.004324180321578892,0.505933117583603,0.0,0.5051481672756718,0.0,0.5051481672756718,0.0,0.5339805825242718,0.0,0.50318818167601,0.0,0.50318818167601,0.0,233413,233413,1703576885,False,1,00ad307c,2023-12-26_07-48-05,304.5231318473816,304.5231318473816,20444,c6b012403c46,172.17.0.2,304.5231318473816,1,,64,1.668665338024508,3,2,7.269340874199071e-05,1.2605537385277866e-06,00ad307c
2,0.6554476806903992,0.6554476806903992,0.004106335773608269,0.6533859388922096,0.004262632709998952,0.6533859388922096,0.0042626327099989664,0.6348435814455232,0.0,0.6309447498913647,0.0,0.6309447498913647,0.0,0.6542610571736786,0.0,0.6478926284956924,0.0,0.6478926284956924,0.0,329817,329817,1703577080,True,1,ba816a45,2023-12-26_07-51-20,493.6931743621826,493.6931743621826,20491,c6b012403c46,172.17.0.2,493.6931743621826,1,,129,1.8240155602678354,4,4,0.0002676582476551423,5.95392355221127e-06,ba816a45
3,0.6788025889967637,0.6788025889967637,0.004137742915644168,0.6782358481207155,0.004049029204502946,0.6782358481207152,0.00404902920450293,0.6299892125134844,0.0,0.623477587129012,0.0,0.6234775871290121,0.0,0.6289104638619202,0.0,0.5914740626016777,0.0,0.5914740626016777,0.0,237592,237592,1703578414,False,1,3e7e455a,2023-12-26_08-13-34,1817.6439287662506,1817.6439287662506,20538,c6b012403c46,172.17.0.2,1817.6439287662506,1,,129,2.404619257805846,3,7,4.4406902332664196e-05,3.6631043454780415e-07,3e7e455a
4,0.6127292340884574,0.6121359223300971,0.006051818393215318,0.6093461028740443,0.006261028553110052,0.6093461028740443,0.006261028553110066,0.5900755124056095,0.0,0.5859227161910344,0.0,0.5859227161910343,0.0,0.6127292340884574,0.0,0.5818762688868712,0.0,0.5818762688868712,0.0,510410,510410,1703576915,False,1,33ef5703,2023-12-26_07-48-35,312.96356558799744,312.96356558799744,20585,c6b012403c46,172.17.0.2,312.96356558799744,1,,64,0.613587636467232,6,3,0.00028389227848866214,7.093353556924727e-06,33ef5703
5,0.6090614886731391,0.6090614886731391,0.0039547578812995305,0.6063285951242667,0.003936742351118863,0.6063285951242666,0.003936742351118836,0.5836030204962244,0.0,0.5805445085626808,0.0,0.5805445085626808,0.0,0.5938511326860841,0.0,0.5381265325165626,0.0,0.5381265325165628,0.0,234146,234146,1703577169,True,1,4002d043,2023-12-26_07-52-49,560.8734922409058,560.8734922409058,20632,c6b012403c46,172.17.0.2,560.8734922409058,1,,129,1.2747151654004008,3,3,0.00020565391183412956,5.851210253235627e-06,4002d043
6,0.6193635382955771,0.6193635382955771,0.0051342656478585765,0.6175210432527655,0.004924326680463744,0.6175210432527654,0.004924326680463722,0.5949298813376483,0.0,0.5944992582193207,0.0,0.5944992582193208,0.0,0.6008629989212514,0.0,0.569558322640532,0.0,0.569558322640532,0.0,691673,691673,1703578125,True,1,e7acf7c8,2023-12-26_08-08-45,1508.2738745212555,1508.2738745212555,20679,c6b012403c46,172.17.0.2,1508.2738745212555,1,,129,2.003604047297196,8,4,1.1473919945356719e-05,6.138772629640015e-06,e7acf7c8
7,0.6170442286947141,0.6170442286947141,0.003333664970951972,0.6154322235083132,0.0032945230086657146,0.6154322235083132,0.003294523008665703,0.5738942826321467,0.0,0.5691039989646439,0.0,0.5691039989646439,0.0,0.5269687162891047,0.0,0.45573030667699926,0.0,0.45573030667699926,0.0,513838,513838,1703577179,True,1,96f532a9,2023-12-26_07-52-59,552.2291316986084,552.2291316986084,20726,c6b012403c46,172.17.0.2,552.2291316986084,1,,64,1.2047635468336797,6,5,4.124574258888977e-05,7.455979800942468e-06,96f532a9
8,0.6633764832793958,0.6633764832793958,0.004904748761082752,0.6617882846631892,0.005008418060178582,0.6617882846631891,0.005008418060178568,0.6364617044228694,0.0,0.6310220143994806,0.0,0.6310220143994805,0.0,0.6202804746494067,0.0,0.5828792702919809,0.0,0.5828792702919808,0.0,134689,134689,1703577730,True,1,53b99a21,2023-12-26_08-02-10,1094.6936948299408,1094.6936948299408,20773,c6b012403c46,172.17.0.2,1094.6936948299408,1,,129,1.6155346769372891,2,6,0.0001071541796073676,3.2765227604717574e-06,53b99a21
9,0.6774541531823085,0.6625674217907227,0.005032105195119986,0.6626690568276141,0.005115746989143095,0.6626690568276141,0.005115746989143071,0.6375404530744336,0.0,0.6357853210611347,0.0,0.6357853210611348,0.0,0.6774541531823085,0.0,0.6594498737172741,0.0,0.6594498737172741,0.0,236098,236098,1703577457,False,1,d66ad477,2023-12-26_07-57-37,811.7771711349487,811.7771711349487,20820,c6b012403c46,172.17.0.2,811.7771711349487,1,,129,1.1641451697693102,3,5,0.000216509320083189,5.193205964538147e-06,d66ad477
