dataset,model,percent,dim,score
realworld_waist,convae,50.0,128,0.16666666666666669
realworld_waist,convae,75.0,152,0.16666666666666669
realworld_waist,convae,100.0,344,0.5717592592592593
realworld_waist,convae,200.0,303,0.16666666666666669
realworld_waist,convtae,2.5,9,0.5973765432098765
realworld_waist,convtae,5.0,16,0.5551697530864198
realworld_waist,convtae,25.0,21,0.6027777777777777
realworld_waist,convtae,50.0,32,0.611574074074074
realworld_waist,convtae,75.0,12,0.5829475308641975
realworld_waist,convtae,100.0,136,0.5829475308641975
realworld_waist,convtae,200.0,571,0.6150462962962964
realworld_waist,tae,2.5,9,0.5734567901234568
realworld_waist,tae,5.0,16,0.623070987654321
realworld_waist,tae,25.0,53,0.6522376543209877
realworld_waist,tae,50.0,53,0.6456404320987654
realworld_waist,tae,75.0,98,0.6348765432098766
realworld_waist,tae,100.0,51,0.6519675925925925
realworld_waist,tae,200.0,58,0.6606867283950617
realworld_waist,umap,2.5,9,0.5324074074074074
realworld_waist,umap,5.0,8,0.5322145061728394
realworld_waist,umap,25.0,45,0.5337577160493827
realworld_waist,umap,50.0,93,0.5270061728395061
realworld_waist,umap,75.0,241,0.527391975308642
realworld_waist,umap,100.0,222,0.535108024691358
realworld_waist,umap,200.0,179,0.5401620370370371
uci,ae,2.5,9,0.662608695652174
uci,ae,5.0,17,0.7304347826086957
uci,ae,25.0,26,0.7184057971014493
uci,ae,50.0,105,0.7579710144927536
uci,ae,75.0,255,0.7507246376811594
uci,ae,100.0,285,0.7579710144927536
uci,ae,200.0,531,0.7608695652173914
uci,convae,2.5,8,0.49478260869565227
uci,convae,5.0,14,0.5318840579710146
uci,convae,25.0,47,0.7710144927536232
uci,convae,50.0,108,0.7840579710144927
uci,convae,75.0,144,0.7897101449275363
uci,convae,100.0,257,0.7444927536231883
uci,convae,200.0,526,0.7594202898550725
uci,convtae,2.5,9,0.6571014492753624
uci,convtae,5.0,16,0.7323188405797102
uci,convtae,25.0,47,0.7052173913043478
uci,convtae,50.0,123,0.6991304347826087
uci,convtae,75.0,91,0.6230434782608697
uci,convtae,100.0,269,0.7746376811594203
uci,convtae,200.0,546,0.7768115942028986
uci,tae,2.5,7,0.6904347826086956
uci,tae,5.0,14,0.6797101449275362
uci,tae,25.0,63,0.6985507246376812
uci,tae,50.0,91,0.6930434782608696
uci,tae,75.0,226,0.686231884057971
uci,tae,100.0,89,0.6398550724637682
uci,tae,200.0,383,0.635072463768116
uci,umap,2.5,6,0.6405797101449275
uci,umap,5.0,11,0.6608695652173913
uci,umap,25.0,72,0.6555072463768116
uci,umap,50.0,34,0.6576811594202898
