dataset,model,percent,dim,score
kuhar,no_reducer,100,360,0.7965277777777777
motionsense,no_reducer,100,360,0.8872881355932204
uci,no_reducer,100,360,0.8855072463768117
wisdm,no_reducer,100,360,0.7693990755007704
realworld_thigh,no_reducer,100,360,0.6959972394755003
realworld_waist,no_reducer,100,360,0.663233024691358
