dataset,model,percent,dim,score
kuhar,no_reducer,100,360,0.6711267605633803
motionsense,no_reducer,100,360,0.785952380952381
uci,no_reducer,100,360,0.8470588235294118
wisdm,no_reducer,100,360,0.7473728813559323
realworld_thigh,no_reducer,100,360,0.6715210355987055
realworld_waist,no_reducer,100,360,0.7872168284789643
