,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1 score (macro) (mean),randomforest-100-f1 score (macro) (std),randomforest-100-f1 score (weighted) (mean),randomforest-100-f1 score (weighted) (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1 score (macro) (mean),KNN-5-f1 score (macro) (std),KNN-5-f1 score (weighted) (mean),KNN-5-f1 score (weighted) (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1 score (macro) (mean),SVM-rbf-C1.0-f1 score (macro) (std),SVM-rbf-C1.0-f1 score (weighted) (mean),SVM-rbf-C1.0-f1 score (weighted) (std),num_params,num_trainable_params,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/latent_dim,config/m_lambda,config/num_HL,config/opt_lr,config/opt_wd,logdir
279,0.8188095238095239,0.0093101022838176,0.8201475899378783,0.0092897640721586,0.8201475899378783,0.0092897640721586,0.7690476190476191,0.0,0.7744650229359907,0.0,0.7744650229359908,0.0,0.7619047619047619,0.0,0.7592539749125571,0.0,0.7592539749125571,0.0,110138,110138,0.8188095238095239,265.5836591720581,False,1,156696d3,2024-03-22_08-02-07,1711094527,265.5836591720581,2893369,9fa0f2df8d72,172.17.0.15,265.5836591720581,1,64,87,1.10689753174739,3,0.0008977780503464177,4.008343144942551e-06,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_156696d3_280_batch_size=64,latent_dim=87,m_lambda=1.1069,num_HL=3,opt_lr=0.0009,opt_wd=0.0000_2024-03-22_07-57-42"
280,0.7769047619047619,0.0066538993392771,0.7801758437161046,0.0065558920287525,0.7801758437161046,0.0065558920287525,0.7761904761904762,0.0,0.7812237696028905,0.0,0.7812237696028904,0.0,0.7404761904761905,0.0,0.7469453578092923,0.0,0.7469453578092922,0.0,89761,89761,0.7769047619047619,332.2475595474243,True,1,826e5bfe,2024-03-22_08-04-32,1711094672,332.2475595474243,2894141,9fa0f2df8d72,172.17.0.15,332.2475595474243,1,64,58,0.9216741560266416,3,0.0005360543798813181,1.3503738588488732e-06,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_826e5bfe_281_batch_size=64,latent_dim=58,m_lambda=0.9217,num_HL=3,opt_lr=0.0005,opt_wd=0.0000_2024-03-22_07-59-00"
281,0.7126190476190477,0.0061214095867535,0.7127090587408824,0.0059296050965922,0.7127090587408824,0.0059296050965922,0.6928571428571428,0.0,0.701351434613211,0.0,0.701351434613211,0.0,0.7047619047619048,0.0,0.7054216621441566,0.0,0.7054216621441566,0.0,149624,149624,0.7126190476190477,525.8527505397797,True,1,1db99b8f,2024-03-22_08-07-49,1711094869,525.8527505397797,2893938,9fa0f2df8d72,172.17.0.15,525.8527505397797,1,128,89,1.0337013883214263,4,0.0006069073241767209,9.83732041112677e-07,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_1db99b8f_282_batch_size=128,latent_dim=89,m_lambda=1.0337,num_HL=4,opt_lr=0.0006,opt_wd=0.0000_2024-03-22_07-59-03"
282,0.8392857142857142,0.0116763807954659,0.8441921038872483,0.0111491518382345,0.8441921038872483,0.0111491518382345,0.8166666666666667,0.0,0.8185199750540583,0.0,0.8185199750540584,0.0,0.8166666666666667,0.0,0.8186652671091642,0.0,0.8186652671091641,0.0,68677,68677,0.8392857142857142,470.1534311771393,False,1,8d5f9d73,2024-03-22_08-07-57,1711094877,470.1534311771393,2893553,9fa0f2df8d72,172.17.0.15,470.1534311771393,1,64,22,1.3929405286410252,3,0.00038399080019042115,2.724138352879078e-07,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_8d5f9d73_283_batch_size=64,latent_dim=22,m_lambda=1.3929,num_HL=3,opt_lr=0.0004,opt_wd=0.0000_2024-03-22_08-00-07"
283,0.785952380952381,0.0134876276554938,0.794476552089178,0.0131852645527594,0.7944765520891781,0.0131852645527594,0.7595238095238095,0.0,0.7592523141249209,0.0,0.7592523141249209,0.0,0.8261904761904761,0.0,0.8248782048708355,0.0,0.8248782048708357,0.0,52441,52441,0.8261904761904761,511.4987733364105,False,1,56492eee,2024-03-22_08-09-13,1711094953,511.4987733364105,2894564,9fa0f2df8d72,172.17.0.15,511.4987733364105,1,64,48,1.2326582513309015,2,0.0007744741604833243,2.714029041462762e-06,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_56492eee_284_batch_size=64,latent_dim=48,m_lambda=1.2327,num_HL=2,opt_lr=0.0008,opt_wd=0.0000_2024-03-22_08-00-42"
284,0.7985714285714286,0.0052380952380952,0.8033999441339092,0.0052365517916717,0.8033999441339092,0.0052365517916716,0.7404761904761905,0.0,0.7460799026523134,0.0,0.7460799026523136,0.0,0.7857142857142857,0.0,0.7876832833321955,0.0,0.7876832833321955,0.0,73031,73031,0.7985714285714286,1116.6476373672483,True,1,29536c19,2024-03-22_08-20-44,1711095644,1116.6476373672483,2893369,9fa0f2df8d72,172.17.0.15,1116.6476373672483,1,128,30,1.1641590313592616,3,0.00044941483335221946,1.6128097237721417e-06,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_29536c19_285_batch_size=128,latent_dim=30,m_lambda=1.1642,num_HL=3,opt_lr=0.0004,opt_wd=0.0000_2024-03-22_08-02-07"
285,0.8035714285714286,0.0054554472558998,0.8074681505049259,0.0050449521065724,0.8074681505049257,0.0050449521065724,0.7595238095238095,0.0,0.7665177694709788,0.0,0.7665177694709786,0.0,0.7595238095238095,0.0,0.7619482290349043,0.0,0.7619482290349043,0.0,133849,133849,0.8035714285714286,271.9809255599976,True,1,6294afab,2024-03-22_08-06-53,1711094813,271.9809255599976,2894350,9fa0f2df8d72,172.17.0.15,271.9809255599976,1,64,72,1.317094653107791,4,0.0007056849861276943,3.3100824736303316e-06,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_6294afab_286_batch_size=64,latent_dim=72,m_lambda=1.3171,num_HL=4,opt_lr=0.0007,opt_wd=0.0000_2024-03-22_08-02-21"
286,0.8530952380952381,0.0097619047619047,0.8540579464348262,0.0092012199411132,0.8540579464348262,0.0092012199411131,0.8357142857142857,0.0,0.8376376434450498,0.0,0.8376376434450499,0.0,0.8166666666666667,0.0,0.8168509786312104,0.0,0.8168509786312105,0.0,42230,42230,0.8530952380952381,1036.5042157173157,False,1,3abdc657,2024-03-22_08-20-19,1711095619,1036.5042157173157,2893205,9fa0f2df8d72,172.17.0.15,1036.5042157173157,1,64,25,0.3861617621929086,2,0.0001709332459899341,3.393024367635659e-07,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_3abdc657_287_batch_size=64,latent_dim=25,m_lambda=0.3862,num_HL=2,opt_lr=0.0002,opt_wd=0.0000_2024-03-22_08-03-03"
287,0.8880952380952382,0.0078967256913224,0.8892129735406463,0.0074756715060194,0.8892129735406463,0.0074756715060194,0.8404761904761905,0.0,0.8429681534183259,0.0,0.842968153418326,0.0,0.819047619047619,0.0,0.8206845521837769,0.0,0.8206845521837768,0.0,40401,40401,0.8880952380952382,696.7973861694336,False,1,d6c1e3e0,2024-03-22_08-16-09,1711095369,696.7973861694336,2894141,9fa0f2df8d72,172.17.0.15,696.7973861694336,1,64,20,0.5146487349146751,2,0.00022410679688332036,2.1519514320387917e-08,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_d6c1e3e0_288_batch_size=64,latent_dim=20,m_lambda=0.5146,num_HL=2,opt_lr=0.0002,opt_wd=0.0000_2024-03-22_08-04-32"
288,0.8335714285714285,0.0176720566800128,0.8388048857022008,0.0170457259690467,0.8388048857022008,0.0170457259690467,0.8119047619047619,0.0,0.8149163715532849,0.0,0.8149163715532849,0.0,0.819047619047619,0.0,0.8194183581843416,0.0,0.8194183581843417,0.0,43681,43681,0.8335714285714285,1198.9513275623322,False,1,e1cd8bea,2024-03-22_08-25-47,1711095947,1198.9513275623322,2893739,9fa0f2df8d72,172.17.0.15,1198.9513275623322,1,64,28,0.5404809747827657,2,0.00011106590389055489,4.753568026276262e-07,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_e1cd8bea_289_batch_size=64,latent_dim=28,m_lambda=0.5405,num_HL=2,opt_lr=0.0001,opt_wd=0.0000_2024-03-22_08-05-48"
289,0.7711904761904761,0.0131038932436352,0.7781321586567371,0.0127267209801249,0.7781321586567371,0.0127267209801249,0.7476190476190476,0.0,0.7543372115477002,0.0,0.7543372115477002,0.0,0.7690476190476191,0.0,0.7691075194823321,0.0,0.769107519482332,0.0,41820,41820,0.7711904761904761,823.7413992881775,True,1,acd57900,2024-03-22_08-19-42,1711095582,823.7413992881775,2893037,9fa0f2df8d72,172.17.0.15,823.7413992881775,1,64,23,0.24871300310281497,2,0.00013757709791750126,7.198562141830001e-07,"/home/darlinne.soto/ray_results/fft_tae_motionsense_p25/default_objective_function_acd57900_290_batch_size=64,latent_dim=23,m_lambda=0.2487,num_HL=2,opt_lr=0.0001,opt_wd=0.0000_2024-03-22_08-05-59"
