,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/pca_ncomp,logdir
215,0.7705932203389831,0.7705932203389831,0.008295134128840568,0.7713484023445794,0.008277317445038391,0.7713484023445794,0.00827731744503837,0.7101694915254237,0.0,0.7108910760694902,0.0,0.7108910760694903,0.0,0.6838983050847458,0.0,0.6183432563687736,0.0,0.6183432563687736,0.0,-1,-1,1705277074,False,1,bd5f728d,2024-01-15_00-04-34,79.04922342300415,79.04922342300415,654809,d49c071550b4,172.17.0.2,79.04922342300415,1,,14,bd5f728d
216,0.7654237288135592,0.7654237288135592,0.005657057379077503,0.764874973466882,0.00569557687306555,0.764874973466882,0.005695576873065522,0.7305084745762712,0.0,0.7291785430386157,0.0,0.7291785430386156,0.0,0.690677966101695,0.0,0.6251687673558491,0.0,0.625168767355849,0.0,-1,-1,1705277099,True,1,c32cda08,2024-01-15_00-04-59,87.7134120464325,87.7134120464325,655011,d49c071550b4,172.17.0.2,87.7134120464325,1,,17,c32cda08
217,0.7244915254237289,0.7244915254237289,0.007536657518412398,0.7261944261952095,0.007468215107721935,0.7261944261952095,0.007468215107721942,0.6754237288135593,0.0,0.6793180115345161,0.0,0.6793180115345161,0.0,0.6406779661016949,0.0,0.5888470475582608,0.0,0.5888470475582608,0.0,-1,-1,1705277062,True,1,b6868fc0,2024-01-15_00-04-22,51.01828861236572,51.01828861236572,653649,d49c071550b4,172.17.0.2,51.01828861236572,1,,7,b6868fc0
218,0.7671186440677966,0.7671186440677966,0.00921977814844689,0.7678978960102093,0.009006678471063225,0.7678978960102093,0.00900667847106319,0.7008474576271186,0.0,0.7017634470385896,0.0,0.7017634470385896,0.0,0.6822033898305084,0.0,0.6167816954917749,0.0,0.6167816954917749,0.0,-1,-1,1705277132,True,1,d9077738,2024-01-15_00-05-32,69.087899684906,69.087899684906,653649,d49c071550b4,172.17.0.2,69.087899684906,1,,13,d9077738
219,0.774322033898305,0.774322033898305,0.005847457627118641,0.7745852960940034,0.005871243655253303,0.7745852960940034,0.005871243655253315,0.726271186440678,0.0,0.7255749589790772,0.0,0.7255749589790771,0.0,0.6974576271186441,0.0,0.6315996410855138,0.0,0.6315996410855137,0.0,-1,-1,1705277141,False,1,17f209a8,2024-01-15_00-05-41,66.86384344100952,66.86384344100952,654809,d49c071550b4,172.17.0.2,66.86384344100952,1,,15,17f209a8
220,0.7570338983050847,0.7570338983050847,0.004703962402162027,0.7570855259868299,0.004602985856623981,0.7570855259868299,0.004602985856624006,0.7279661016949153,0.0,0.7256029195064896,0.0,0.7256029195064895,0.0,0.6838983050847458,0.0,0.6182909422270823,0.0,0.6182909422270823,0.0,-1,-1,1705277188,True,1,d9bf1508,2024-01-15_00-06-28,86.17532563209534,86.17532563209534,655011,d49c071550b4,172.17.0.2,86.17532563209534,1,,16,d9bf1508
221,0.7561016949152543,0.7561016949152543,0.003953187725318829,0.7569828488382201,0.004092560421471257,0.7569828488382202,0.004092560421471311,0.6898305084745763,0.0,0.6927937464032736,0.0,0.6927937464032736,0.0,0.6711864406779661,0.0,0.6065478887796905,0.0,0.6065478887796905,0.0,-1,-1,1705277200,True,1,c786c6f1,2024-01-15_00-06-40,68.07837009429932,68.07837009429932,653649,d49c071550b4,172.17.0.2,68.07837009429932,1,,11,c786c6f1
222,0.7755084745762711,0.7755084745762711,0.005048600341900492,0.7749705619568857,0.005004126193199377,0.7749705619568857,0.005004126193199414,0.7254237288135593,0.0,0.7237290027129613,0.0,0.7237290027129613,0.0,0.6847457627118644,0.0,0.6196160919948795,0.0,0.6196160919948794,0.0,-1,-1,1705277225,False,1,eb480125,2024-01-15_00-07-05,83.541170835495,83.541170835495,654809,d49c071550b4,172.17.0.2,83.541170835495,1,,18,eb480125
223,0.7552542372881356,0.7552542372881356,0.005262432100427136,0.7555972428915075,0.005194243513747441,0.7555972428915075,0.0051942435137474026,0.6864406779661016,0.0,0.689809797641243,0.0,0.689809797641243,0.0,0.6813559322033899,0.0,0.6164244402844512,0.0,0.6164244402844512,0.0,-1,-1,1705277256,True,1,850e2201,2024-01-15_00-07-36,68.27908897399902,68.27908897399902,655011,d49c071550b4,172.17.0.2,68.27908897399902,1,,10,850e2201
224,0.7619491525423729,0.7619491525423729,0.005048600341900517,0.7624583798957437,0.005056738222468083,0.7624583798957437,0.005056738222468129,0.6983050847457627,0.0,0.7003135166154194,0.0,0.7003135166154194,0.0,0.6745762711864407,0.0,0.6091762493200313,0.0,0.6091762493200313,0.0,-1,-1,1705277270,True,1,98ebdd0a,2024-01-15_00-07-50,69.81616377830505,69.81616377830505,653649,d49c071550b4,172.17.0.2,69.81616377830505,1,,12,98ebdd0a
225,0.770593220338983,0.770593220338983,0.006476816543825598,0.7709048667735908,0.006341060970215773,0.7709048667735908,0.006341060970215768,0.7203389830508474,0.0,0.7197728931904817,0.0,0.7197728931904817,0.0,0.7008474576271186,0.0,0.6350232694828132,0.0,0.6350232694828132,0.0,-1,-1,1705277294,False,1,9c2a088e,2024-01-15_00-08-14,67.9106228351593,67.9106228351593,654809,d49c071550b4,172.17.0.2,67.9106228351593,1,,15,9c2a088e
226,0.7628813559322034,0.7628813559322034,0.005905508945825226,0.7637885540723577,0.005809321985294086,0.7637885540723577,0.00580932198529405,0.7152542372881356,0.0,0.7161715469372208,0.0,0.716171546937221,0.0,0.6847457627118644,0.0,0.6191411031233954,0.0,0.6191411031233954,0.0,-1,-1,1705277327,True,1,fc61bd10,2024-01-15_00-08-47,70.32056665420532,70.32056665420532,655011,d49c071550b4,172.17.0.2,70.32056665420532,1,,14,fc61bd10
