,kuhar-randomforest-100-estimator,kuhar-randomforest-100-accuracy (mean),kuhar-randomforest-100-accuracy (std),kuhar-randomforest-100-f1 score (macro) (mean),kuhar-randomforest-100-f1 score (macro) (std),kuhar-randomforest-100-f1 score (weighted) (mean),kuhar-randomforest-100-f1 score (weighted) (std),kuhar-KNN-5-estimator,kuhar-KNN-5-accuracy (mean),kuhar-KNN-5-accuracy (std),kuhar-KNN-5-f1 score (macro) (mean),kuhar-KNN-5-f1 score (macro) (std),kuhar-KNN-5-f1 score (weighted) (mean),kuhar-KNN-5-f1 score (weighted) (std),kuhar-SVM-rbf-C1.0-estimator,kuhar-SVM-rbf-C1.0-accuracy (mean),kuhar-SVM-rbf-C1.0-accuracy (std),kuhar-SVM-rbf-C1.0-f1 score (macro) (mean),kuhar-SVM-rbf-C1.0-f1 score (macro) (std),kuhar-SVM-rbf-C1.0-f1 score (weighted) (mean),kuhar-SVM-rbf-C1.0-f1 score (weighted) (std),motionsense-randomforest-100-estimator,motionsense-randomforest-100-accuracy (mean),motionsense-randomforest-100-accuracy (std),motionsense-randomforest-100-f1 score (macro) (mean),motionsense-randomforest-100-f1 score (macro) (std),motionsense-randomforest-100-f1 score (weighted) (mean),motionsense-randomforest-100-f1 score (weighted) (std),motionsense-KNN-5-estimator,motionsense-KNN-5-accuracy (mean),motionsense-KNN-5-accuracy (std),motionsense-KNN-5-f1 score (macro) (mean),motionsense-KNN-5-f1 score (macro) (std),motionsense-KNN-5-f1 score (weighted) (mean),motionsense-KNN-5-f1 score (weighted) (std),motionsense-SVM-rbf-C1.0-estimator,motionsense-SVM-rbf-C1.0-accuracy (mean),motionsense-SVM-rbf-C1.0-accuracy (std),motionsense-SVM-rbf-C1.0-f1 score (macro) (mean),motionsense-SVM-rbf-C1.0-f1 score (macro) (std),motionsense-SVM-rbf-C1.0-f1 score (weighted) (mean),motionsense-SVM-rbf-C1.0-f1 score (weighted) (std),uci-randomforest-100-estimator,uci-randomforest-100-accuracy (mean),uci-randomforest-100-accuracy (std),uci-randomforest-100-f1 score (macro) (mean),uci-randomforest-100-f1 score (macro) (std),uci-randomforest-100-f1 score (weighted) (mean),uci-randomforest-100-f1 score (weighted) (std),uci-KNN-5-estimator,uci-KNN-5-accuracy (mean),uci-KNN-5-accuracy (std),uci-KNN-5-f1 score (macro) (mean),uci-KNN-5-f1 score (macro) (std),uci-KNN-5-f1 score (weighted) (mean),uci-KNN-5-f1 score (weighted) (std),uci-SVM-rbf-C1.0-estimator,uci-SVM-rbf-C1.0-accuracy (mean),uci-SVM-rbf-C1.0-accuracy (std),uci-SVM-rbf-C1.0-f1 score (macro) (mean),uci-SVM-rbf-C1.0-f1 score (macro) (std),uci-SVM-rbf-C1.0-f1 score (weighted) (mean),uci-SVM-rbf-C1.0-f1 score (weighted) (std),wisdm-randomforest-100-estimator,wisdm-randomforest-100-accuracy (mean),wisdm-randomforest-100-accuracy (std),wisdm-randomforest-100-f1 score (macro) (mean),wisdm-randomforest-100-f1 score (macro) (std),wisdm-randomforest-100-f1 score (weighted) (mean),wisdm-randomforest-100-f1 score (weighted) (std),wisdm-KNN-5-estimator,wisdm-KNN-5-accuracy (mean),wisdm-KNN-5-accuracy (std),wisdm-KNN-5-f1 score (macro) (mean),wisdm-KNN-5-f1 score (macro) (std),wisdm-KNN-5-f1 score (weighted) (mean),wisdm-KNN-5-f1 score (weighted) (std),wisdm-SVM-rbf-C1.0-estimator,wisdm-SVM-rbf-C1.0-accuracy (mean),wisdm-SVM-rbf-C1.0-accuracy (std),wisdm-SVM-rbf-C1.0-f1 score (macro) (mean),wisdm-SVM-rbf-C1.0-f1 score (macro) (std),wisdm-SVM-rbf-C1.0-f1 score (weighted) (mean),wisdm-SVM-rbf-C1.0-f1 score (weighted) (std),realworld_thigh-randomforest-100-estimator,realworld_thigh-randomforest-100-accuracy (mean),realworld_thigh-randomforest-100-accuracy (std),realworld_thigh-randomforest-100-f1 score (macro) (mean),realworld_thigh-randomforest-100-f1 score (macro) (std),realworld_thigh-randomforest-100-f1 score (weighted) (mean),realworld_thigh-randomforest-100-f1 score (weighted) (std),realworld_thigh-KNN-5-estimator,realworld_thigh-KNN-5-accuracy (mean),realworld_thigh-KNN-5-accuracy (std),realworld_thigh-KNN-5-f1 score (macro) (mean),realworld_thigh-KNN-5-f1 score (macro) (std),realworld_thigh-KNN-5-f1 score (weighted) (mean),realworld_thigh-KNN-5-f1 score (weighted) (std),realworld_thigh-SVM-rbf-C1.0-estimator,realworld_thigh-SVM-rbf-C1.0-accuracy (mean),realworld_thigh-SVM-rbf-C1.0-accuracy (std),realworld_thigh-SVM-rbf-C1.0-f1 score (macro) (mean),realworld_thigh-SVM-rbf-C1.0-f1 score (macro) (std),realworld_thigh-SVM-rbf-C1.0-f1 score (weighted) (mean),realworld_thigh-SVM-rbf-C1.0-f1 score (weighted) (std),realworld_waist-randomforest-100-estimator,realworld_waist-randomforest-100-accuracy (mean),realworld_waist-randomforest-100-accuracy (std),realworld_waist-randomforest-100-f1 score (macro) (mean),realworld_waist-randomforest-100-f1 score (macro) (std),realworld_waist-randomforest-100-f1 score (weighted) (mean),realworld_waist-randomforest-100-f1 score (weighted) (std),realworld_waist-KNN-5-estimator,realworld_waist-KNN-5-accuracy (mean),realworld_waist-KNN-5-accuracy (std),realworld_waist-KNN-5-f1 score (macro) (mean),realworld_waist-KNN-5-f1 score (macro) (std),realworld_waist-KNN-5-f1 score (weighted) (mean),realworld_waist-KNN-5-f1 score (weighted) (std),realworld_waist-SVM-rbf-C1.0-estimator,realworld_waist-SVM-rbf-C1.0-accuracy (mean),realworld_waist-SVM-rbf-C1.0-accuracy (std),realworld_waist-SVM-rbf-C1.0-f1 score (macro) (mean),realworld_waist-SVM-rbf-C1.0-f1 score (macro) (std),realworld_waist-SVM-rbf-C1.0-f1 score (weighted) (mean),realworld_waist-SVM-rbf-C1.0-f1 score (weighted) (std),num_params,num_trainable_params,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/latent_dim,config/MC-red_dataset-kuhar.standartized_balanced[train],config/MC-red_dataset-motionsense.standartized_balanced[train],config/MC-red_dataset-uci.standartized_balanced[train],config/MC-red_dataset-wisdm.standartized_balanced[train],config/MC-red_dataset-realworld_thigh.standartized_balanced[train],config/MC-red_dataset-realworld_waist.standartized_balanced[train],logdir,error_type,error_message,error_traceback
870,randomforest-100,0.5948356807511738,0.008411489608999484,0.5986692245882729,0.008078518544993358,0.5986692245882729,0.0080785185449933,KNN-5,0.45774647887323944,0.0,0.43114936038600643,0.0,0.4311493603860065,0.0,SVM-rbf-C1.0,0.5140845070422535,0.0,0.45886610177839104,0.0,0.45886610177839104,0.0,randomforest-100,0.647142857142857,0.013627702877384936,0.6391125442250457,0.01413832467991315,0.6391125442250457,0.014138324679913182,KNN-5,0.5738095238095238,0.0,0.5777262271617924,0.0,0.5777262271617926,0.0,SVM-rbf-C1.0,0.5833333333333334,0.0,0.5402308836416531,0.0,0.5402308836416528,0.0,randomforest-100,0.7164705882352942,0.015237451584692493,0.7139778903683128,0.015404508564716958,0.7139778903683128,0.015404508564716953,KNN-5,0.6529411764705882,0.0,0.6493527982438634,0.0,0.6493527982438634,0.0,SVM-rbf-C1.0,0.7088235294117647,0.0,0.6431597728582845,0.0,0.6431597728582846,0.0,randomforest-100,0.723135593220339,0.003993854802694303,0.7241445159792236,0.004166240294965511,0.7241445159792236,0.004166240294965513,KNN-5,0.6932203389830508,0.0,0.6946325224371546,0.0,0.6946325224371545,0.0,SVM-rbf-C1.0,0.6796610169491526,0.0,0.6149615990255494,0.0,0.6149615990255494,0.0,randomforest-100,0.6647788565264293,0.005480690785572146,0.6579031263903669,0.005951461124643073,0.6579031263903669,0.005951461124643063,KNN-5,0.5954692556634305,0.0,0.5923520858768926,0.0,0.5923520858768926,0.0,SVM-rbf-C1.0,0.616504854368932,0.0,0.5696083250469649,0.0,0.569608325046965,0.0,randomforest-100,0.7199568500539374,0.002573216923813723,0.7158025874937552,0.0023943888839099204,0.7158025874937552,0.0023943888839099634,KNN-5,0.6370010787486515,0.0,0.6229024987905442,0.0,0.6229024987905442,0.0,SVM-rbf-C1.0,0.6682847896440129,0.0,0.6146319438349884,0.0,0.6146319438349884,0.0,142506,142506,0.9029358368768549,1709397434,True,1,eb4ab134,2024-03-02_16-37-14,1066.4774911403656,1066.4774911403656,22042,1d43726c602a,172.17.0.2,1066.4774911403656,1,,64,2,17,1,1,1,1,1,1,eb4ab134,,,
871,randomforest-100,0.6025821596244131,0.011786281887918491,0.6006356274716067,0.012371419518891908,0.6006356274716067,0.01237141951889191,KNN-5,0.528169014084507,0.0,0.5101573060946255,0.0,0.5101573060946254,0.0,SVM-rbf-C1.0,0.5,0.0,0.4451076637893811,0.0,0.44510766378938105,0.0,randomforest-100,0.6016666666666666,0.007755474988048723,0.5975234471836257,0.007979644617594739,0.5975234471836257,0.007979644617594775,KNN-5,0.5904761904761905,0.0,0.5895373884355074,0.0,0.5895373884355074,0.0,SVM-rbf-C1.0,0.5404761904761904,0.0,0.48651322072304765,0.0,0.4865132207230477,0.0,randomforest-100,0.7200000000000001,0.012874158016611355,0.7180462665781141,0.013098973773665075,0.7180462665781142,0.01309897377366508,KNN-5,0.6617647058823529,0.0,0.6575164910226385,0.0,0.6575164910226386,0.0,SVM-rbf-C1.0,0.7088235294117647,0.0,0.6496194923457737,0.0,0.6496194923457737,0.0,randomforest-100,0.7115254237288136,0.0065665663145120425,0.7129931694774994,0.006441752711485253,0.7129931694774994,0.006441752711485212,KNN-5,0.6576271186440678,0.0,0.6599893982356984,0.0,0.6599893982356982,0.0,SVM-rbf-C1.0,0.676271186440678,0.0,0.6159916201928965,0.0,0.6159916201928965,0.0,randomforest-100,0.6847357065803668,0.0026779269875526197,0.6845704124268717,0.0028153597681768888,0.6845704124268718,0.0028153597681768935,KNN-5,0.610032362459547,0.0,0.6081913923234658,0.0,0.6081913923234659,0.0,SVM-rbf-C1.0,0.6256742179072277,0.0,0.5925000072770055,0.0,0.5925000072770055,0.0,randomforest-100,0.7227076591154261,0.0047785643056705174,0.7213411792579304,0.004935346789730627,0.7213411792579304,0.004935346789730636,KNN-5,0.6310679611650486,0.0,0.6213207291444228,0.0,0.6213207291444227,0.0,SVM-rbf-C1.0,0.680151024811219,0.0,0.635006598715151,0.0,0.6350065987151509,0.0,345421,345421,0.8989254225421762,1709397489,True,1,bc64105c,2024-03-02_16-38-09,1113.2744603157043,1113.2744603157043,24252,1d43726c602a,172.17.0.2,1113.2744603157043,1,,64,4,18,0,1,1,1,1,1,bc64105c,,,
872,randomforest-100,0.5392018779342722,0.00872342919063946,0.5414424310119144,0.008461923492750897,0.5414424310119142,0.00846192349275086,KNN-5,0.5,0.0,0.5027949602991727,0.0,0.5027949602991726,0.0,SVM-rbf-C1.0,0.4694835680751174,0.0,0.42172306655883784,0.0,0.4217230665588379,0.0,randomforest-100,0.5061904761904762,0.00965387377748254,0.5151433579725888,0.009120601463312285,0.5151433579725888,0.009120601463312256,KNN-5,0.49523809523809526,0.0,0.50272829415617,0.0,0.50272829415617,0.0,SVM-rbf-C1.0,0.4738095238095238,0.0,0.4223160548328762,0.0,0.42231605483287626,0.0,randomforest-100,0.6355882352941176,0.011349283165632197,0.6315824142842511,0.010952993647861384,0.6315824142842511,0.01095299364786135,KNN-5,0.5794117647058824,0.0,0.5762064889011922,0.0,0.5762064889011922,0.0,SVM-rbf-C1.0,0.6411764705882353,0.0,0.5764144956324199,0.0,0.5764144956324199,0.0,randomforest-100,0.653135593220339,0.004288671501315256,0.6581963494247353,0.004225389719863747,0.6581963494247354,0.004225389719863735,KNN-5,0.65,0.0,0.6556619786218614,0.0,0.6556619786218614,0.0,SVM-rbf-C1.0,0.6330508474576271,0.0,0.5716228416623407,0.0,0.5716228416623407,0.0,randomforest-100,0.514670981661273,0.003477186938788815,0.49375676139708685,0.0035277492789943686,0.4937567613970869,0.0035277492789943534,KNN-5,0.4989212513484358,0.0,0.48976570436607697,0.0,0.489765704366077,0.0,SVM-rbf-C1.0,0.5307443365695793,0.0,0.4733991058144795,0.0,0.47339910581447947,0.0,randomforest-100,0.6555555555555556,0.003183679517448468,0.6527954061308263,0.003443631123407765,0.6527954061308262,0.003443631123407795,KNN-5,0.6197411003236246,0.0,0.6121896575868864,0.0,0.6121896575868864,0.0,SVM-rbf-C1.0,0.6143473570658037,0.0,0.5644571389166934,0.0,0.5644571389166934,0.0,534889,534889,0.7821119938004628,1709398280,True,1,888fbd8b,2024-03-02_16-51-20,1875.666499376297,1875.666499376297,25174,1d43726c602a,172.17.0.2,1875.666499376297,1,,128,6,18,1,0,1,1,1,1,888fbd8b,,,
873,randomforest-100,0.5866197183098592,0.012790734953826557,0.5906222806662081,0.012718195940962556,0.590622280666208,0.012718195940962537,KNN-5,0.5140845070422535,0.0,0.48863421217188646,0.0,0.4886342121718864,0.0,SVM-rbf-C1.0,0.5117370892018779,0.0,0.4632701147542487,0.0,0.4632701147542486,0.0,randomforest-100,0.595,0.01023809523809525,0.6038656859977118,0.010661237466264059,0.603865685997712,0.010661237466264063,KNN-5,0.6,0.0,0.606016471617671,0.0,0.606016471617671,0.0,SVM-rbf-C1.0,0.5214285714285715,0.0,0.48497065859155813,0.0,0.4849706585915582,0.0,randomforest-100,0.5714705882352941,0.024503724736283598,0.5705310256789184,0.024412368412639135,0.5705310256789186,0.024412368412639166,KNN-5,0.5441176470588235,0.0,0.5276526350377171,0.0,0.527652635037717,0.0,SVM-rbf-C1.0,0.6323529411764706,0.0,0.5890012018125014,0.0,0.5890012018125015,0.0,randomforest-100,0.6980508474576271,0.008181807300228676,0.7013579876882808,0.008118519403528483,0.7013579876882808,0.008118519403528474,KNN-5,0.6550847457627119,0.0,0.6549466914249548,0.0,0.6549466914249547,0.0,SVM-rbf-C1.0,0.6576271186440678,0.0,0.5941468119649562,0.0,0.5941468119649562,0.0,randomforest-100,0.6320927723840345,0.005444475543608403,0.6278428399248235,0.005715627264695528,0.6278428399248235,0.005715627264695568,KNN-5,0.5636461704422869,0.0,0.5642452268804746,0.0,0.5642452268804745,0.0,SVM-rbf-C1.0,0.5841423948220065,0.0,0.546463110135187,0.0,0.546463110135187,0.0,randomforest-100,0.6800431499460625,0.004373923394328638,0.678625464942643,0.004620163618784121,0.678625464942643,0.0046201636187841585,KNN-5,0.5792880258899676,0.0,0.5729924761259212,0.0,0.5729924761259211,0.0,SVM-rbf-C1.0,0.6256742179072277,0.0,0.5947781243887992,0.0,0.5947781243887992,0.0,142506,142506,0.8523267919006986,1709397095,True,1,6c2edf09,2024-03-02_16-31-35,319.1448702812195,319.1448702812195,25470,1d43726c602a,172.17.0.2,319.1448702812195,1,,64,2,17,0,1,0,0,0,0,6c2edf09,,,
874,randomforest-100,0.5983568075117371,0.011082696370059042,0.6000694776289823,0.01133699849100448,0.6000694776289823,0.011336998491004465,KNN-5,0.5375586854460094,0.0,0.5306821965329368,0.0,0.5306821965329368,0.0,SVM-rbf-C1.0,0.528169014084507,0.0,0.47220601434523285,0.0,0.4722060143452328,0.0,randomforest-100,0.6173809523809524,0.011519971812764701,0.6157125156095643,0.011382828060661298,0.6157125156095644,0.011382828060661265,KNN-5,0.5857142857142857,0.0,0.5852041425345883,0.0,0.5852041425345883,0.0,SVM-rbf-C1.0,0.5214285714285715,0.0,0.46853862515747485,0.0,0.4685386251574749,0.0,randomforest-100,0.6755882352941177,0.012823664327406848,0.6732292408157116,0.01294355393221299,0.6732292408157116,0.012943553932212998,KNN-5,0.6294117647058823,0.0,0.6283021925555944,0.0,0.6283021925555943,0.0,SVM-rbf-C1.0,0.6647058823529411,0.0,0.6008380774896025,0.0,0.6008380774896025,0.0,randomforest-100,0.6845762711864407,0.004982013036169172,0.6879065378323392,0.0050291857103361174,0.6879065378323392,0.005029185710336085,KNN-5,0.6279661016949153,0.0,0.6330380803007958,0.0,0.633038080300796,0.0,SVM-rbf-C1.0,0.6389830508474577,0.0,0.5779268527433865,0.0,0.5779268527433867,0.0,randomforest-100,0.5467637540453074,0.005903870248533324,0.5408769038153742,0.0066418855281760334,0.5408769038153742,0.006641885528176045,KNN-5,0.4816612729234088,0.0,0.48414862436459477,0.0,0.4841486243645949,0.0,SVM-rbf-C1.0,0.5647249190938511,0.0,0.518863745577495,0.0,0.5188637455774949,0.0,randomforest-100,0.7029126213592234,0.0030777438225862096,0.7021024891906379,0.0032391959647698433,0.7021024891906379,0.003239195964769872,KNN-5,0.651564185544768,0.0,0.6428666872036556,0.0,0.6428666872036556,0.0,SVM-rbf-C1.0,0.6677454153182308,0.0,0.6176721711823289,0.0,0.6176721711823288,0.0,441249,441249,0.852463102328778,1709398364,True,1,e800f915,2024-03-02_16-52-44,1277.7458803653717,1277.7458803653717,25375,1d43726c602a,172.17.0.2,1277.7458803653717,1,,64,5,18,1,1,1,1,1,1,e800f915,,,
875,randomforest-100,0.5924882629107981,0.01193264321797074,0.596180131353604,0.011835850754638817,0.596180131353604,0.011835850754638813,KNN-5,0.4694835680751174,0.0,0.44668890568922204,0.0,0.446688905689222,0.0,SVM-rbf-C1.0,0.5446009389671361,0.0,0.48774058737826853,0.0,0.4877405873782686,0.0,randomforest-100,0.6390476190476191,0.01304970438670925,0.6342143507303565,0.013441330957832011,0.6342143507303564,0.013441330957832034,KNN-5,0.638095238095238,0.0,0.6357296932150787,0.0,0.6357296932150787,0.0,SVM-rbf-C1.0,0.5714285714285714,0.0,0.5253848479793543,0.0,0.5253848479793544,0.0,randomforest-100,0.7114705882352942,0.008261512885404785,0.7084083225732756,0.008864533988770684,0.7084083225732756,0.008864533988770676,KNN-5,0.6294117647058823,0.0,0.6181582241316944,0.0,0.6181582241316943,0.0,SVM-rbf-C1.0,0.6970588235294117,0.0,0.6339109261385382,0.0,0.6339109261385381,0.0,randomforest-100,0.7400847457627119,0.009056701591808575,0.7408547053875741,0.008965736225857982,0.7408547053875744,0.008965736225858,KNN-5,0.7,0.0,0.7005391613307114,0.0,0.7005391613307114,0.0,SVM-rbf-C1.0,0.6838983050847458,0.0,0.6201870296816749,0.0,0.620187029681675,0.0,randomforest-100,0.6562028047464941,0.005938998752319668,0.6467767516099049,0.00655525039649606,0.6467767516099049,0.00655525039649607,KNN-5,0.6014023732470335,0.0,0.5976699558109801,0.0,0.5976699558109803,0.0,SVM-rbf-C1.0,0.5825242718446602,0.0,0.5408672176101436,0.0,0.5408672176101434,0.0,randomforest-100,0.7142934196332253,0.004973078083866015,0.7092589786885158,0.004908130395662154,0.7092589786885158,0.004908130395662157,KNN-5,0.6413160733549083,0.0,0.6295006067337999,0.0,0.6295006067337999,0.0,SVM-rbf-C1.0,0.6736785329018339,0.0,0.6222198505847788,0.0,0.6222198505847789,0.0,245911,245911,0.9001019693799743,1709397933,True,1,6a912402,2024-03-02_16-45-33,837.2831077575684,837.2831077575684,25470,1d43726c602a,172.17.0.2,837.2831077575684,1,,64,3,16,0,0,1,1,1,1,6a912402,,,
876,randomforest-100,0.5889671361502348,0.011711239139217287,0.5925804524504218,0.011604181622493067,0.5925804524504218,0.0116041816224931,KNN-5,0.4295774647887324,0.0,0.40963807434865646,0.0,0.4096380743486564,0.0,SVM-rbf-C1.0,0.5328638497652582,0.0,0.48605489484198494,0.0,0.48605489484198494,0.0,randomforest-100,0.6138095238095238,0.008895972234414018,0.597626796406179,0.00935685006023223,0.5976267964061788,0.009356850060232264,KNN-5,0.6261904761904762,0.0,0.6227896188055665,0.0,0.6227896188055664,0.0,SVM-rbf-C1.0,0.5714285714285714,0.0,0.5188261132276423,0.0,0.5188261132276422,0.0,randomforest-100,0.6961764705882353,0.013672516822552301,0.6911937008196729,0.014432441717947274,0.6911937008196729,0.014432441717947303,KNN-5,0.6823529411764706,0.0,0.6772572567158747,0.0,0.6772572567158747,0.0,SVM-rbf-C1.0,0.7205882352941176,0.0,0.6550053388627817,0.0,0.6550053388627817,0.0,randomforest-100,0.733220338983051,0.005463308969927529,0.7342798747896102,0.005399049553799145,0.7342798747896102,0.005399049553799134,KNN-5,0.6872881355932203,0.0,0.6892628685637416,0.0,0.6892628685637415,0.0,SVM-rbf-C1.0,0.6932203389830508,0.0,0.6293351116527377,0.0,0.6293351116527378,0.0,randomforest-100,0.6548004314994607,0.0030984696043894395,0.6532920657771368,0.003188623708456557,0.6532920657771368,0.0031886237084565146,KNN-5,0.5895361380798274,0.0,0.5883401093450437,0.0,0.5883401093450435,0.0,SVM-rbf-C1.0,0.6121898597626753,0.0,0.5775634917601683,0.0,0.5775634917601683,0.0,randomforest-100,0.7261596548004314,0.005474317269565262,0.7237645956326946,0.0057619179725807235,0.7237645956326945,0.005761917972580715,KNN-5,0.656957928802589,0.0,0.6439572854191927,0.0,0.6439572854191927,0.0,SVM-rbf-C1.0,0.6893203883495146,0.0,0.6389397278004407,0.0,0.6389397278004407,0.0,247158,247158,0.8989305160833316,1709398025,True,1,44d4cadc,2024-03-02_16-47-05,897.527480840683,897.527480840683,24457,1d43726c602a,172.17.0.2,897.527480840683,1,,64,3,17,1,1,1,1,1,1,44d4cadc,,,
877,randomforest-100,0.5572769953051645,0.010025425588761776,0.5637160321500995,0.009564016762133068,0.5637160321500996,0.009564016762133058,KNN-5,0.4624413145539906,0.0,0.44239103303916255,0.0,0.44239103303916255,0.0,SVM-rbf-C1.0,0.5187793427230047,0.0,0.45419840603961187,0.0,0.4541984060396119,0.0,randomforest-100,0.6526190476190477,0.014421969258007442,0.6510350148334388,0.014238231294016059,0.6510350148334388,0.014238231294016057,KNN-5,0.6309523809523809,0.0,0.6357093186008614,0.0,0.6357093186008612,0.0,SVM-rbf-C1.0,0.5833333333333334,0.0,0.5348954186793526,0.0,0.5348954186793526,0.0,randomforest-100,0.7291176470588236,0.012917759562351612,0.7248167546852612,0.013340460966985171,0.7248167546852612,0.013340460966985171,KNN-5,0.6617647058823529,0.0,0.6586597037242131,0.0,0.6586597037242131,0.0,SVM-rbf-C1.0,0.7264705882352941,0.0,0.6589587815382352,0.0,0.6589587815382352,0.0,randomforest-100,0.7248305084745763,0.00560924770961793,0.7255066239978791,0.005530876990442265,0.7255066239978792,0.00553087699044225,KNN-5,0.6872881355932203,0.0,0.6881770840622734,0.0,0.6881770840622734,0.0,SVM-rbf-C1.0,0.6872881355932203,0.0,0.6220967224277727,0.0,0.6220967224277727,0.0,randomforest-100,0.693042071197411,0.005761214701550988,0.6895503548298214,0.005939502037489358,0.6895503548298214,0.0059395020374893165,KNN-5,0.6434735706580367,0.0,0.6411803172801319,0.0,0.6411803172801319,0.0,SVM-rbf-C1.0,0.6040992448759439,0.0,0.5584709194956121,0.0,0.5584709194956121,0.0,randomforest-100,0.7,0.005892772506471486,0.6962585297696032,0.005990767463086013,0.6962585297696032,0.005990767463086096,KNN-5,0.6639697950377562,0.0,0.6523932542333446,0.0,0.6523932542333446,0.0,SVM-rbf-C1.0,0.6585760517799353,0.0,0.6040536906511283,0.0,0.6040536906511283,0.0,142506,142506,0.9004250025316832,1709398007,True,1,cb252f62,2024-03-02_16-46-47,879.6540322303772,879.6540322303772,25512,1d43726c602a,172.17.0.2,879.6540322303772,1,,64,2,17,0,1,1,1,1,1,cb252f62,,,
878,randomforest-100,0.5950704225352113,0.012253880879002994,0.5954707000518535,0.012381687756163265,0.5954707000518535,0.01238168775616327,KNN-5,0.49295774647887325,0.0,0.48130817786368646,0.0,0.48130817786368657,0.0,SVM-rbf-C1.0,0.5539906103286385,0.0,0.505477411504775,0.0,0.505477411504775,0.0,randomforest-100,0.6616666666666668,0.017958442831555326,0.6550484393813792,0.017919775720915118,0.6550484393813791,0.017919775720915104,KNN-5,0.6190476190476191,0.0,0.6217248802621341,0.0,0.6217248802621342,0.0,SVM-rbf-C1.0,0.5928571428571429,0.0,0.5511227277002588,0.0,0.5511227277002587,0.0,randomforest-100,0.7176470588235294,0.014105386833272717,0.7157248982642972,0.014675360423008434,0.7157248982642972,0.01467536042300845,KNN-5,0.6735294117647059,0.0,0.6688716961899078,0.0,0.6688716961899078,0.0,SVM-rbf-C1.0,0.7147058823529412,0.0,0.65647220876122,0.0,0.6564722087612199,0.0,randomforest-100,0.6980508474576271,0.007850312472624252,0.6990834241263394,0.007767303767609756,0.6990834241263393,0.007767303767609715,KNN-5,0.6677966101694915,0.0,0.669500580987633,0.0,0.6695005809876331,0.0,SVM-rbf-C1.0,0.6635593220338983,0.0,0.6009933404335852,0.0,0.6009933404335853,0.0,randomforest-100,0.6573354908306366,0.003927074789485954,0.6557816033602285,0.004100625619487529,0.6557816033602285,0.004100625619487559,KNN-5,0.6181229773462783,0.0,0.6180179719235083,0.0,0.6180179719235082,0.0,SVM-rbf-C1.0,0.5970873786407767,0.0,0.5556727561407074,0.0,0.5556727561407072,0.0,randomforest-100,0.7151564185544768,0.003840178535345754,0.7126285412185205,0.00409813755177568,0.7126285412185205,0.004098137551775695,KNN-5,0.6531823085221143,0.0,0.6432109138551666,0.0,0.6432109138551666,0.0,SVM-rbf-C1.0,0.6844660194174758,0.0,0.635399870897905,0.0,0.635399870897905,0.0,247951,247951,0.89785028498404,1709398077,True,1,feb9c424,2024-03-02_16-47-57,895.7477724552155,895.7477724552155,21901,1d43726c602a,172.17.0.2,895.7477724552155,1,,64,3,18,1,0,1,1,1,1,feb9c424,,,
879,randomforest-100,0.6030516431924883,0.009416042779404494,0.601783622437132,0.009038231013992107,0.6017836224371321,0.009038231013992084,KNN-5,0.5187793427230047,0.0,0.49703954240120846,0.0,0.4970395424012086,0.0,SVM-rbf-C1.0,0.5187793427230047,0.0,0.4598478701021811,0.0,0.4598478701021811,0.0,randomforest-100,0.6416666666666667,0.011821134845053729,0.6391386393663464,0.011401611125859593,0.6391386393663464,0.011401611125859612,KNN-5,0.5976190476190476,0.0,0.6012486476838772,0.0,0.6012486476838772,0.0,SVM-rbf-C1.0,0.5523809523809524,0.0,0.507105911983873,0.0,0.507105911983873,0.0,randomforest-100,0.6870588235294118,0.013100622030188287,0.6851444366287629,0.01356560902841181,0.6851444366287629,0.013565609028411788,KNN-5,0.6352941176470588,0.0,0.6324229224116154,0.0,0.6324229224116154,0.0,SVM-rbf-C1.0,0.6911764705882353,0.0,0.6285548342309457,0.0,0.6285548342309458,0.0,randomforest-100,0.7055084745762712,0.006344622706523656,0.7073750951874294,0.006234045279485937,0.7073750951874292,0.006234045279485928,KNN-5,0.661864406779661,0.0,0.6650300635298104,0.0,0.6650300635298104,0.0,SVM-rbf-C1.0,0.6508474576271186,0.0,0.5874341764738601,0.0,0.58743417647386,0.0,randomforest-100,0.6507011866235166,0.004102082705896779,0.6503919660946547,0.0038034632792351124,0.6503919660946547,0.0038034632792350916,KNN-5,0.587378640776699,0.0,0.585503726820503,0.0,0.585503726820503,0.0,SVM-rbf-C1.0,0.6256742179072277,0.0,0.586168557934474,0.0,0.5861685579344741,0.0,randomforest-100,0.7213052858683927,0.0039492367870519055,0.7209674574269112,0.004050088205705542,0.7209674574269112,0.0040500882057055545,KNN-5,0.6440129449838188,0.0,0.628996808326711,0.0,0.6289968083267109,0.0,SVM-rbf-C1.0,0.6866235167206041,0.0,0.6389265953129061,0.0,0.638926595312906,0.0,342812,342812,0.8917300979879085,1709398424,True,1,2f3d1e74,2024-03-02_16-53-44,1217.4668822288513,1217.4668822288513,25559,1d43726c602a,172.17.0.2,1217.4668822288513,1,,64,4,15,0,1,1,1,1,1,2f3d1e74,,,
