,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.6905070118662352,0.6905070118662352,0.005189218326129757,0.6896508358098357,0.005324845125732388,0.6896508358098357,0.005324845125732351,0.6553398058252428,0.0,0.6540896091355571,0.0,0.6540896091355571,0.0,0.6467098166127292,0.0,0.6074305995433787,0.0,0.6074305995433787,0.0,330380,330380,1703538134,False,1,4cdf8d0e,2023-12-25_21-02-14,109.41500186920166,109.41500186920166,14459,c6b012403c46,172.17.0.2,109.41500186920166,1,,64,4,5,0.0003463652811937041,6.3500653637805606e-06,4cdf8d0e
1,0.7073354908306364,0.7073354908306364,0.003378739970521208,0.7066678025094264,0.0034391820732230603,0.7066678025094265,0.003439182073223094,0.6510248112189859,0.0,0.6470024234488289,0.0,0.6470024234488289,0.0,0.6709816612729234,0.0,0.6237378130742411,0.0,0.6237378130742411,0.0,334854,334854,1703538191,False,1,8304ea88,2023-12-25_21-03-11,139.82129073143005,139.82129073143005,14564,c6b012403c46,172.17.0.2,139.82129073143005,1,,64,4,9,0.0002403474435540706,9.418157172189296e-06,8304ea88
2,0.6565264293419633,0.6565264293419633,0.005075853443805222,0.6546912723008346,0.0050420872372304954,0.6546912723008346,0.005042087237230532,0.6256742179072277,0.0,0.6233201978564348,0.0,0.6233201978564347,0.0,0.6386192017259978,0.0,0.5868709030159829,0.0,0.5868709030159829,0.0,234883,234883,1703538909,True,1,3a75b3e8,2023-12-25_21-15-09,831.857394695282,831.857394695282,14611,c6b012403c46,172.17.0.2,831.857394695282,1,,128,3,4,4.1524601476550726e-05,3.0400632514635266e-06,3a75b3e8
3,0.7123516720604098,0.7123516720604098,0.005511392210367425,0.7127501459899236,0.00541096473178348,0.7127501459899236,0.005410964731783436,0.6715210355987055,0.0,0.6658108536104453,0.0,0.6658108536104455,0.0,0.6682847896440129,0.0,0.6305679108995187,0.0,0.6305679108995188,0.0,237592,237592,1703539194,False,1,93fc7950,2023-12-25_21-19-54,1092.6462516784668,1092.6462516784668,14658,c6b012403c46,172.17.0.2,1092.6462516784668,1,,128,3,7,4.856630167364451e-05,9.075370642395897e-06,93fc7950
4,0.5981661272923409,0.5945523193096008,0.004872613443827119,0.5907946066633004,0.004921834333282679,0.5907946066633002,0.004921834333282694,0.5981661272923409,0.0,0.5937306850729401,0.0,0.5937306850729401,0.0,0.5674217907227616,0.0,0.5218084171992154,0.0,0.5218084171992154,0.0,132860,132860,1703538499,True,1,e8e9f2bc,2023-12-25_21-08-19,382.95280265808105,382.95280265808105,14705,c6b012403c46,172.17.0.2,382.95280265808105,1,,128,2,3,0.00018901255876652314,6.0769052892510125e-06,e8e9f2bc
5,0.6250269687162892,0.6250269687162892,0.003969443256305115,0.6218061113886749,0.00399833576090584,0.6218061113886749,0.003998335760905808,0.6003236245954693,0.0,0.5944321836635426,0.0,0.5944321836635426,0.0,0.5280474649406688,0.0,0.4718382476789569,0.0,0.4718382476789568,0.0,512485,512485,1703538327,True,1,9b3a03b6,2023-12-25_21-05-27,192.98934173583984,192.98934173583984,14459,c6b012403c46,172.17.0.2,192.98934173583984,1,,64,6,4,0.00017898326749417657,9.199028950349877e-06,9b3a03b6
6,0.6970873786407766,0.6970873786407766,0.00276294465477146,0.6960919127851707,0.0030675472702175856,0.6960919127851707,0.0030675472702175713,0.6488673139158576,0.0,0.6429076748110082,0.0,0.6429076748110083,0.0,0.6607335490830637,0.0,0.6198809718112518,0.0,0.6198809718112518,0.0,136530,136530,1703538283,True,1,4979d8f3,2023-12-25_21-04-43,127.95772647857666,127.95772647857666,14801,c6b012403c46,172.17.0.2,127.95772647857666,1,,64,2,9,0.00040625071058477785,6.633793999748853e-06,4979d8f3
7,0.5868392664509169,0.5862459546925567,0.0027017216367568693,0.5836905839570025,0.002732070930948208,0.5836905839570025,0.0027320709309482482,0.5868392664509169,0.0,0.5817690253424436,0.0,0.5817690253424436,0.0,0.5593311758360302,0.0,0.5033152114993307,0.0,0.5033152114993307,0.0,132860,132860,1703538405,True,1,8e70209f,2023-12-25_21-06-45,223.12346625328064,223.12346625328064,14843,c6b012403c46,172.17.0.2,223.12346625328064,1,,64,2,3,0.00012182751590929773,8.619263109721864e-06,8e70209f
8,0.6663969795037756,0.6663969795037756,0.004697513779892781,0.665493901837406,0.0047664764723658,0.665493901837406,0.00476647647236581,0.6235167206040992,0.0,0.6205116049731882,0.0,0.6205116049731882,0.0,0.6504854368932039,0.0,0.6030947215638575,0.0,0.6030947215638575,0.0,427415,427415,1703538585,True,1,db0bbae8,2023-12-25_21-09-45,392.861022233963,392.861022233963,14564,c6b012403c46,172.17.0.2,392.861022233963,1,,128,5,8,0.00013119679677898072,4.8886037100166774e-06,db0bbae8
9,0.6263754045307441,0.6263754045307441,0.00543163604327093,0.6250079464826638,0.0053254158196004205,0.6250079464826637,0.005325415819600388,0.5992448759439051,0.0,0.5917730340678483,0.0,0.5917730340678484,0.0,0.6170442286947141,0.0,0.5627894458696973,0.0,0.5627894458696973,0.0,427415,427415,1703539073,True,1,09f6f24c,2023-12-25_21-17-53,846.8648762702942,846.8648762702942,14939,c6b012403c46,172.17.0.2,846.8648762702942,1,,128,5,8,3.424912122781321e-05,3.3733049183784507e-06,09f6f24c
