,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/kernel,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/opt_wd,config/size_CL,logdir,error_type,error_message,error_traceback
10,0.2,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,109360031,109360031,1414.8339931964874,True,1,84bf5e12,2024-01-22_13-40-25,1705930825,1414.8339931964874,64576,26031bb7a0ec,172.17.0.3,1414.8339931964874,1,64,3,15,2,3,0.0001382709584140118,3.0992065605260837e-06,22,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_84bf5e12_11_batch_size=64,kernel=3,latent_dim=15,num_CL=2,num_HL=3,opt_lr=0.0001,opt_wd=0.0000,size_CL=22_2024-01-22_13-16-51",,,
11,0.7285593220338982,0.7285593220338982,0.0052384947323815,0.7295289804460394,0.0051761326409369,0.7295289804460394,0.0051761326409369,0.6533898305084745,0.0,0.658809254928444,0.0,0.658809254928444,0.0,0.6813559322033899,0.0,0.6191856769071582,0.0,0.6191856769071582,0.0,12856701,12856701,748.795487165451,False,1,812609c1,2024-01-22_13-29-48,1705930188,748.795487165451,69140,26031bb7a0ec,172.17.0.3,748.795487165451,1,128,2,15,3,2,0.00039895179643753065,9.3626957928167e-06,10,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_812609c1_12_batch_size=128,kernel=2,latent_dim=15,num_CL=3,num_HL=2,opt_lr=0.0004,opt_wd=0.0000,size_CL=10_2024-01-22_13-17-19",,,
12,0.6067796610169492,0.6067796610169492,0.004354316128361,0.6133975587871257,0.0043329484284307,0.6133975587871257,0.0043329484284307,0.5745762711864407,0.0,0.5814243103573451,0.0,0.5814243103573452,0.0,0.5686440677966101,0.0,0.5148502613298078,0.0,0.5148502613298078,0.0,7893077,7893077,795.1554560661316,True,1,87cb7706,2024-01-22_13-43-03,1705930983,795.1554560661316,69140,26031bb7a0ec,172.17.0.3,795.1554560661316,1,64,3,10,3,4,0.00018414598036693044,4.9594861241265744e-06,5,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_87cb7706_13_batch_size=64,kernel=3,latent_dim=10,num_CL=3,num_HL=4,opt_lr=0.0002,opt_wd=0.0000,size_CL=5_2024-01-22_13-29-48",,,
13,0.2,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,32157888,32157888,789.6418850421906,True,1,da441825,2024-01-22_13-49-43,1705931383,789.6418850421906,77099,26031bb7a0ec,172.17.0.3,789.6418850421906,1,64,3,6,3,3,6.924750683593872e-05,7.777120649673785e-06,12,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_da441825_14_batch_size=64,kernel=3,latent_dim=6,num_CL=3,num_HL=3,opt_lr=0.0001,opt_wd=0.0000,size_CL=12_2024-01-22_13-36-33",,,
14,0.2,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,2043707,2043707,588.2761056423187,True,1,85bef039,2024-01-22_13-49-47,1705931387,588.2761056423187,76733,26031bb7a0ec,172.17.0.3,588.2761056423187,1,128,3,13,3,2,0.00011075313396720273,2.1391195061308435e-06,4,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_85bef039_15_batch_size=128,kernel=3,latent_dim=13,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=4_2024-01-22_13-39-59",,,
15,0.6372881355932203,0.6170338983050847,0.0046486739497974,0.6241675725446403,0.0045161958421226,0.6241675725446403,0.0045161958421226,0.5932203389830508,0.0,0.5985972633392095,0.0,0.5985972633392095,0.0,0.6372881355932203,0.0,0.573846650099361,0.0,0.5738466500993611,0.0,199604606,199604606,1094.2770607471466,True,1,cdfa36de,2024-01-22_13-58-40,1705931920,1094.2770607471466,64576,26031bb7a0ec,172.17.0.3,1094.2770607471466,1,128,2,16,3,4,1.3065224589827233e-05,4.250903650715538e-06,25,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_cdfa36de_16_batch_size=128,kernel=2,latent_dim=16,num_CL=3,num_HL=4,opt_lr=0.0000,opt_wd=0.0000,size_CL=25_2024-01-22_13-40-26",,,
16,0.2,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,37312437,37312437,811.5081217288971,True,1,c87fe0bc,2024-01-22_13-54-46,1705931686,811.5081217288971,72256,26031bb7a0ec,172.17.0.3,811.5081217288971,1,64,3,6,4,3,0.0004234322649711882,3.2857606301604527e-06,13,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_c87fe0bc_17_batch_size=64,kernel=3,latent_dim=6,num_CL=4,num_HL=3,opt_lr=0.0004,opt_wd=0.0000,size_CL=13_2024-01-22_13-41-14",,,
17,0.2,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,150138211,150138211,1141.3054955005646,True,1,61ee63ce,2024-01-22_14-02-05,1705932125,1141.3054955005646,69140,26031bb7a0ec,172.17.0.3,1141.3054955005646,1,64,3,7,4,4,0.00020943190154104743,8.789172991439651e-06,22,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_61ee63ce_18_batch_size=64,kernel=3,latent_dim=7,num_CL=4,num_HL=4,opt_lr=0.0002,opt_wd=0.0000,size_CL=22_2024-01-22_13-43-03",,,
18,0.5423728813559322,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.5423728813559322,0.0,0.5471768807903022,0.0,0.5471768807903024,0.0,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,7813682,7813682,558.7079844474792,True,1,9cccd383,2024-01-22_13-59-02,1705931942,558.7079844474792,77099,26031bb7a0ec,172.17.0.3,558.7079844474792,1,128,4,10,4,2,3.189181196969211e-05,4.425564975311355e-06,8,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_9cccd383_19_batch_size=128,kernel=4,latent_dim=10,num_CL=4,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=8_2024-01-22_13-49-43",,,
19,0.5398305084745763,0.2,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.5398305084745763,0.0,0.5437824977456708,0.0,0.5437824977456707,0.0,0.2025423728813559,0.0,0.1020349002444153,0.0,0.1020349002444154,0.0,1142867,1142867,540.0414206981659,True,1,28d6b6eb,2024-01-22_13-58-47,1705931927,540.0414206981659,76733,26031bb7a0ec,172.17.0.3,540.0414206981659,1,128,4,6,2,2,6.973979750056213e-05,9.247438989356849e-07,3,"/home/darlinne.soto/ray_results/P10_convae_wisdm_p5/my_objective_function_28d6b6eb_20_batch_size=128,kernel=4,latent_dim=6,num_CL=2,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=3_2024-01-22_13-49-47",,,
