,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_CL,config/size_CL,config/kernel,config/num_HL,config/m_lambda,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.6097087378640776,0.6097087378640776,0.004302841569617925,0.6086396511832184,0.004632076846587165,0.6086396511832184,0.0046320768465871656,0.580906148867314,0.0,0.5818451323065242,0.0,0.5818451323065243,0.0,0.5275080906148867,0.0,0.4743754156215085,0.0,0.4743754156215084,0.0,18347984,18347984,1705932736,False,1,0ba91124,2024-01-22_14-12-16,146.4451289176941,146.4451289176941,146827,1d43726c602a,172.17.0.2,146.4451289176941,1,,128,2,9,3,3,0.45142130863100427,11,9.636352549897356e-05,3.031126813636409e-06,0ba91124
1,0.5140776699029126,0.5140776699029126,0.006018073723029777,0.5007887740050163,0.00505042742787204,0.5007887740050163,0.005050427427872019,0.42071197411003236,0.0,0.41994863891132866,0.0,0.41994863891132866,0.0,0.4266450916936354,0.0,0.44180709532558343,0.0,0.44180709532558343,0.0,203264429,203264429,1705934793,True,1,a1fa533a,2024-01-22_14-46-33,2194.9852039813995,2194.9852039813995,146875,1d43726c602a,172.17.0.2,2194.9852039813995,1,,128,2,30,3,3,0.9481363259435676,17,0.00013694028940653547,8.315297240048781e-06,a1fa533a
2,0.597411003236246,0.597411003236246,0.003430013612855389,0.5788699546565361,0.0034512729115246782,0.5788699546565361,0.003451272911524757,0.5614886731391586,0.0,0.5407761574900954,0.0,0.5407761574900954,0.0,0.5862998921251349,0.0,0.5581570224906859,0.0,0.5581570224906859,0.0,87806014,87806014,1705933265,True,1,9c99608b,2024-01-22_14-21-05,528.4654195308685,528.4654195308685,146827,1d43726c602a,172.17.0.2,528.4654195308685,1,,64,3,20,4,3,0.979693591103732,10,0.0009390841784865349,5.053027721143004e-06,9c99608b
3,0.5528586839266451,0.5410463861920173,0.004132114288089494,0.5392368752012857,0.0040007678998584305,0.5392368752012857,0.004000767899858432,0.5528586839266451,0.0,0.554709553283479,0.0,0.5547095532834792,0.0,0.3959007551240561,0.0,0.4014466074829479,0.0,0.4014466074829479,0.0,64506698,64506698,1705933352,True,1,c0e74c50,2024-01-22_14-22-32,86.69874596595764,86.69874596595764,146827,1d43726c602a,172.17.0.2,86.69874596595764,1,,64,3,17,3,3,0.7341905597927103,7,2.192651529726075e-05,7.657160337559517e-06,c0e74c50
4,0.5603559870550161,0.5603559870550161,0.0034992883674883823,0.5562980496004766,0.00331714469730382,0.5562980496004765,0.003317144697303873,0.5329018338727076,0.0,0.5343593988950924,0.0,0.5343593988950923,0.0,0.45415318230852214,0.0,0.4363350715415266,0.0,0.43633507154152656,0.0,51372328,51372328,1705933432,True,1,5843cb41,2024-01-22_14-23-52,79.71152639389038,79.71152639389038,146827,1d43726c602a,172.17.0.2,79.71152639389038,1,,64,2,15,2,3,0.8889339226371555,7,2.918861031415592e-05,1.0821682456266226e-06,5843cb41
5,0.6001078748651565,0.6001078748651565,0.003875996596164345,0.5923635779879939,0.0038723262618652683,0.5923635779879939,0.003872326261865294,0.5706580366774542,0.0,0.570674491323696,0.0,0.570674491323696,0.0,0.5016181229773463,0.0,0.46306349421607673,0.0,0.46306349421607673,0.0,26678287,26678287,1705933516,True,1,f9dde49c,2024-01-22_14-25-16,82.90436673164368,82.90436673164368,146827,1d43726c602a,172.17.0.2,82.90436673164368,1,,128,3,11,4,3,0.8401404668806618,17,0.00021993513290257104,2.553340662976519e-06,f9dde49c
6,0.49568500539374327,0.4771305285868393,0.0035631379859576654,0.466352576170087,0.003251758827447797,0.466352576170087,0.003251758827447812,0.4255663430420712,0.0,0.42374184580166413,0.0,0.4237418458016641,0.0,0.49568500539374327,0.0,0.4912745166873363,0.0,0.49127451668733635,0.0,60851915,60851915,1705933844,True,1,970959af,2024-01-22_14-30-44,327.8847906589508,327.8847906589508,146827,1d43726c602a,172.17.0.2,327.8847906589508,1,,64,2,22,4,2,1.1886597570536364,11,5.3793199988512605e-05,4.993552792062752e-06,970959af
7,0.4990291262135923,0.4990291262135923,0.005217174666383489,0.4889165217140004,0.00485908396827159,0.4889165217140004,0.004859083968271582,0.46008629989212513,0.0,0.4615428701935893,0.0,0.4615428701935893,0.0,0.45037756202804746,0.0,0.40621729878477053,0.0,0.40621729878477053,0.0,12742641,12742641,1705935279,True,1,bd388391,2024-01-22_14-54-39,1419.9829120635986,1419.9829120635986,146827,1d43726c602a,172.17.0.2,1419.9829120635986,1,,128,4,10,2,2,2.5838466372521047,9,2.485424472889791e-05,8.41519412426918e-06,bd388391
8,0.5344660194174757,0.5344660194174757,0.014383101850267236,0.529567293926077,0.01686929129096712,0.529567293926077,0.016869291290967127,0.5334412081984897,0.0,0.5368879735712954,0.0,0.5368879735712954,0.0,0.5323624595469255,0.0,0.48548166073085186,0.0,0.48548166073085186,0.0,216701342,216701342,1705934911,True,1,df6555fd,2024-01-22_14-48-31,112.40678119659424,112.40678119659424,146875,1d43726c602a,172.17.0.2,112.40678119659424,1,,64,4,31,2,3,1.0641828493984846,5,0.00012625104028777197,8.233186627667477e-07,df6555fd
9,0.5724919093851133,0.5724919093851133,0.005135115527685822,0.5658213563348834,0.00539337749259996,0.5658213563348834,0.005393377492599989,0.5307443365695793,0.0,0.5305861457961408,0.0,0.5305861457961408,0.0,0.45685005393743255,0.0,0.42755727946455574,0.0,0.42755727946455585,0.0,64638337,64638337,1705935022,True,1,d66d9cfc,2024-01-22_14-50-22,111.40222978591919,111.40222978591919,146875,1d43726c602a,172.17.0.2,111.40222978591919,1,,128,2,17,4,3,1.9572324940100958,16,0.00027525353981404745,4.293962380853163e-06,d66d9cfc
10,0.6233009708737864,0.6233009708737864,0.0034888806103120285,0.6129159611730428,0.0033608763042111394,0.6129159611730428,0.00336087630421117,0.5765911542610572,0.0,0.578220794548793,0.0,0.578220794548793,0.0,0.5733549083063646,0.0,0.5325408626339626,0.0,0.5325408626339626,0.0,49745217,49745217,1705935082,False,1,01fff8b2,2024-01-22_14-51-22,59.04895782470703,59.04895782470703,146875,1d43726c602a,172.17.0.2,59.04895782470703,1,,64,4,20,3,2,1.2787122821854398,11,1.7756681565539278e-05,1.5666448009223357e-06,01fff8b2
