,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/m_lambda,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.508468176914779,0.508468176914779,0.005490237186665806,0.4813674561405984,0.005384604164742574,0.4813674561405984,0.00538460416474258,0.46763754045307443,0.0,0.4707415604876386,0.0,0.4707415604876386,0.0,0.4546925566343042,0.0,0.44776766847011035,0.0,0.4477676684701103,0.0,236098,236098,1703647633,True,1,3afc08ca,2023-12-27_03-27-13,1457.0194125175476,1457.0194125175476,30409,1d43726c602a,172.17.0.2,1457.0194125175476,1,,64,0.7111668251267786,3,5,3.055933960715726e-05,9.203574437123253e-06,3afc08ca
1,0.5403451995685006,0.5403451995685006,0.005343890432147064,0.5353716601802633,0.005477264139281828,0.5353716601802632,0.00547726413928182,0.5280474649406688,0.0,0.5299062894990773,0.0,0.5299062894990774,0.0,0.4929881337648328,0.0,0.45295237046235187,0.0,0.4529523704623518,0.0,420738,420738,1703646530,False,1,5f26d635,2023-12-27_03-08-50,347.86715960502625,347.86715960502625,30514,1d43726c602a,172.17.0.2,347.86715960502625,1,,64,0.9527933132032372,5,3,0.00022892352843861604,7.255974588924171e-06,5f26d635
2,0.5474649406688241,0.4985976267529666,0.004151430723817461,0.47671636548258717,0.004268670431666858,0.47671636548258717,0.004268670431666856,0.5474649406688241,0.0,0.5446849907069405,0.0,0.5446849907069407,0.0,0.5258899676375405,0.0,0.49142176031130985,0.0,0.4914217603113099,0.0,333696,333696,1703646768,False,1,87f24c10,2023-12-27_03-12-48,578.477915763855,578.477915763855,30561,1d43726c602a,172.17.0.2,578.477915763855,1,,129,1.9970956485718896,4,7,0.0009596682466249876,6.155874561131073e-06,87f24c10
3,0.552319309600863,0.5269687162891047,0.0030606819760757554,0.5261574836363729,0.003117611355937632,0.5261574836363728,0.003117611355937635,0.552319309600863,0.0,0.5544353543919178,0.0,0.5544353543919178,0.0,0.5129449838187702,0.0,0.47410112141859057,0.0,0.4741011214185905,0.0,603870,603870,1703646644,False,1,2ef42f8e,2023-12-27_03-10-44,448.8951065540314,448.8951065540314,30608,1d43726c602a,172.17.0.2,448.8951065540314,1,,64,0.702482300996775,7,5,0.0006196569507151527,1.5154725926378055e-06,2ef42f8e
4,0.46941747572815534,0.46941747572815534,0.003479277976886761,0.45985800656122544,0.003881137236195555,0.45985800656122555,0.0038811372361955577,0.45037756202804746,0.0,0.45243418875670294,0.0,0.45243418875670294,0.0,0.4395900755124056,0.0,0.3976064705799118,0.0,0.3976064705799117,0.0,600286,600286,1703646714,True,1,abcd18e0,2023-12-27_03-11-54,511.89223980903625,511.89223980903625,30655,1d43726c602a,172.17.0.2,511.89223980903625,1,,64,1.23480830871064,7,3,7.340819859142614e-05,6.317017111294488e-06,abcd18e0
5,0.5335490830636461,0.5335490830636461,0.0032702279161217103,0.5358296360314135,0.003228190954888652,0.5358296360314136,0.003228190954888674,0.5118662351672061,0.0,0.5190009444004154,0.0,0.5190009444004154,0.0,0.4487594390507012,0.0,0.4048421037550103,0.0,0.40484210375501034,0.0,518461,518461,1703646923,True,1,b2ed427a,2023-12-27_03-15-23,695.8460810184479,695.8460810184479,30702,1d43726c602a,172.17.0.2,695.8460810184479,1,,129,2.0184329528630185,6,8,0.0001307814997907741,9.642385461165233e-06,b2ed427a
6,0.5394822006472493,0.5394822006472493,0.003305621023957838,0.5339383230580718,0.0032767041107816973,0.5339383230580718,0.003276704110781692,0.5269687162891047,0.0,0.5293698011577737,0.0,0.5293698011577737,0.0,0.5248112189859763,0.0,0.4739207686251206,0.0,0.4739207686251206,0.0,699521,699521,1703646676,True,1,669c6343,2023-12-27_03-11-16,442.54097509384155,442.54097509384155,30749,1d43726c602a,172.17.0.2,442.54097509384155,1,,129,1.8123776876090298,8,8,0.00037324951496521953,2.3439233561743437e-06,669c6343
7,0.5002696871628911,0.5002696871628911,0.003987359132314175,0.48958822083388076,0.004424782778793756,0.4895882208338807,0.004424782778793778,0.45091693635382957,0.0,0.455721829666089,0.0,0.455721829666089,0.0,0.4395900755124056,0.0,0.37927840899424425,0.0,0.37927840899424425,0.0,427415,427415,1703647425,True,1,2924d615,2023-12-27_03-23-45,1184.7285430431366,1184.7285430431366,30796,1d43726c602a,172.17.0.2,1184.7285430431366,1,,64,1.3936269712705551,5,8,1.0400061870313218e-05,1.321651178420379e-06,2924d615
8,0.4998381877022654,0.4998381877022654,0.004506600797260904,0.4921672237613775,0.005075363893125485,0.4921672237613775,0.005075363893125482,0.46763754045307443,0.0,0.47284962207125814,0.0,0.47284962207125814,0.0,0.46817691477885653,0.0,0.4235777973207502,0.0,0.4235777973207501,0.0,422061,422061,1703646969,True,1,4af429d2,2023-12-27_03-16-09,721.3586883544922,721.3586883544922,30843,1d43726c602a,172.17.0.2,721.3586883544922,1,,64,1.9096359991802674,5,4,7.753830950098403e-05,9.55126492166805e-06,4af429d2
9,0.44854368932038835,0.44854368932038835,0.0035467707061000234,0.43584444300493885,0.0036663731281867543,0.43584444300493896,0.0036663731281867465,0.39212513484358147,0.0,0.38692595695661836,0.0,0.3869259569566183,0.0,0.41423948220064727,0.0,0.4183872132406004,0.0,0.41838721324060046,0.0,334854,334854,1703646722,True,1,90b60419,2023-12-27_03-12-02,461.97719168663025,461.97719168663025,30890,1d43726c602a,172.17.0.2,461.97719168663025,1,,64,1.0787800570208217,4,9,0.0007274389482483631,1.6984049644459988e-07,90b60419
