,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/num_CL,config/size_CL,config/kernel,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.7256742179072276,0.7256742179072276,0.002956243712199505,0.7260517581673207,0.0029829373266315527,0.7260517581673207,0.0029829373266315544,0.6709816612729234,0.0,0.6702238328707851,0.0,0.6702238328707851,0.0,0.6877022653721683,0.0,0.6394474478357239,0.0,0.6394474478357239,0.0,33539188,33539188,1700744890,,False,1,5379bba7,2023-11-23_10-08-10,628.4586133956909,628.4586133956909,77391,cd0715864623,172.17.0.3,628.4586133956909,1,128,3,12,3,3,136,0.00042132659407257404,8.825167058974562e-06,5379bba7
1,0.7701725997842502,0.7701725997842502,0.005705397495186392,0.7694385027813493,0.0059520051771302955,0.7694385027813493,0.005952005177130321,0.6947141316073355,0.0,0.6830501110847949,0.0,0.6830501110847949,0.0,0.6974110032362459,0.0,0.6486379009957042,0.0,0.6486379009957042,0.0,111314001,111314001,1700746546,,False,1,17f31a73,2023-11-23_10-35-46,2273.967529296875,2273.967529296875,79033,cd0715864623,172.17.0.3,2273.967529296875,1,128,4,30,4,2,109,6.632041266875945e-05,1.874014791533878e-06,17f31a73
2,0.7574973031283712,0.7574973031283712,0.00416542277805994,0.7546599797071856,0.004489211007903461,0.7546599797071855,0.004489211007903407,0.6316073354908306,0.0,0.617020333907052,0.0,0.6170203339070521,0.0,0.7028047464940669,0.0,0.6680118657898634,0.0,0.6680118657898635,0.0,100600587,100600587,1700746032,,False,1,0d29e736,2023-11-23_10-27-12,1142.6388676166534,1142.6388676166534,77391,cd0715864623,172.17.0.3,1142.6388676166534,1,128,3,28,3,2,117,0.0001197165483985697,9.273446894678409e-06,0d29e736
3,0.7038295577130528,0.7038295577130528,0.004025120432967762,0.6992119005366172,0.003861723524723321,0.6992119005366171,0.003861723524723314,0.6192017259978425,0.0,0.607908940237772,0.0,0.607908940237772,0.0,0.5803667745415318,0.0,0.5325218627476586,0.0,0.5325218627476584,0.0,3245918,3245918,1700746193,,True,1,77a70174,2023-11-23_10-29-53,160.08099341392517,160.08099341392517,77391,cd0715864623,172.17.0.3,160.08099341392517,1,64,4,5,3,2,41,1.741179770696276e-05,5.2889547772911806e-06,77a70174
4,0.16666666666666669,0.16666666666666669,2.7755575615628914e-17,0.047619047619047616,0.0,0.047619047619047616,0.0,0.16666666666666666,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.16666666666666666,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,149251240,149251240,1700746387,,True,1,cd35b098,2023-11-23_10-33-07,193.79814863204956,193.79814863204956,77391,cd0715864623,172.17.0.3,193.79814863204956,1,128,3,22,4,4,6,0.0006914676663092383,6.430423799207779e-06,cd35b098
5,0.23570658036677455,0.16666666666666669,2.7755575615628914e-17,0.047619047619047616,0.0,0.047619047619047616,0.0,0.2001078748651564,0.0,0.1833146981721658,0.0,0.1833146981721658,0.0,0.23570658036677455,0.0,0.22909285427711076,0.0,0.22909285427711074,0.0,4930807,4930807,1700746473,,True,1,44fa57ed,2023-11-23_10-34-33,86.19362258911133,86.19362258911133,77391,cd0715864623,172.17.0.3,86.19362258911133,1,64,2,6,2,2,71,0.0005689963128858276,1.774426836036136e-07,44fa57ed
6,0.7790722761596548,0.7790722761596548,0.004087873855770556,0.7812631277910117,0.004117282143015977,0.7812631277910117,0.004117282143015971,0.6763754045307443,0.0,0.6649787982712637,0.0,0.6649787982712637,0.0,0.692017259978425,0.0,0.6491150067357151,0.0,0.6491150067357152,0.0,13432696,13432696,1700749089,,False,1,e5cf01f8,2023-11-23_11-18-09,2615.8806488513947,2615.8806488513947,77391,cd0715864623,172.17.0.3,2615.8806488513947,1,128,2,10,2,2,84,1.1548216129221928e-05,2.373107092654485e-06,e5cf01f8
7,0.6190938511326861,0.6190938511326861,0.0036566237878486113,0.6158507393210555,0.0036038947466450755,0.6158507393210554,0.0036038947466451054,0.5760517799352751,0.0,0.5701507640394076,0.0,0.5701507640394075,0.0,0.4773462783171521,0.0,0.4187160386656843,0.0,0.41871603866568435,0.0,7230739,7230739,1700747766,,True,1,cbd2ea8f,2023-11-23_10-56-06,1219.3843932151794,1219.3843932151794,79033,cd0715864623,172.17.0.3,1219.3843932151794,1,128,3,5,3,3,336,3.289955175402728e-05,2.050195114760356e-06,cbd2ea8f
8,0.766235167206041,0.766235167206041,0.0060313530737839995,0.7679863961799267,0.0062430129430722965,0.7679863961799267,0.00624301294307229,0.6467098166127292,0.0,0.62807250325515,0.0,0.62807250325515,0.0,0.7076591154261057,0.0,0.7056324021021961,0.0,0.7056324021021961,0.0,29513262,29513262,1700747996,,False,1,7c8283e5,2023-11-23_10-59-56,229.72261571884155,229.72261571884155,79033,cd0715864623,172.17.0.3,229.72261571884155,1,128,2,11,4,3,255,4.552033171613871e-05,6.651351121365306e-06,7c8283e5
9,0.5937971952535059,0.5937971952535059,0.0030363469137082103,0.5918174325388849,0.0029512334486732276,0.5918174325388849,0.002951233448673205,0.56957928802589,0.0,0.5667669124433393,0.0,0.5667669124433393,0.0,0.45307443365695793,0.0,0.39906306685622805,0.0,0.399063066856228,0.0,91624313,91624313,1700749136,,True,1,11e3d2c9,2023-11-23_11-18-56,1140.6456060409546,1140.6456060409546,79033,cd0715864623,172.17.0.3,1140.6456060409546,1,128,3,17,3,4,58,1.1690491326003784e-05,6.6394802819785844e-06,11e3d2c9
10,0.6980582524271843,0.6980582524271843,0.004459552666363411,0.6975065202842949,0.00441653901356193,0.6975065202842949,0.004416539013561925,0.6618122977346278,0.0,0.6621734697910018,0.0,0.6621734697910017,0.0,0.6445523193096009,0.0,0.5970688755682274,0.0,0.5970688755682274,0.0,245717362,245717362,1700750552,,True,1,cdf8e8fc,2023-11-23_11-42-32,1463.0019092559814,1463.0019092559814,77391,cd0715864623,172.17.0.3,1463.0019092559814,1,128,4,28,3,4,94,0.00012739235771512926,2.041546426900619e-06,cdf8e8fc
11,0.5829018338727077,0.5829018338727077,0.003752820665976048,0.5842946801481,0.0036002172885259563,0.5842946801481,0.003600217288525967,0.5442286947141316,0.0,0.5472061019378949,0.0,0.5472061019378949,0.0,0.5329018338727076,0.0,0.4753482602748306,0.0,0.4753482602748306,0.0,182594942,182594942,1700749415,,True,1,e04e7ff2,2023-11-23_11-23-35,277.9160578250885,277.9160578250885,79033,cd0715864623,172.17.0.3,277.9160578250885,1,64,3,24,3,4,82,0.00037414283485469725,1.962144639458763e-08,e04e7ff2
