,kuhar-randomforest-100-estimator,kuhar-randomforest-100-accuracy (mean),kuhar-randomforest-100-accuracy (std),kuhar-randomforest-100-f1 score (macro) (mean),kuhar-randomforest-100-f1 score (macro) (std),kuhar-randomforest-100-f1 score (weighted) (mean),kuhar-randomforest-100-f1 score (weighted) (std),kuhar-KNN-5-estimator,kuhar-KNN-5-accuracy (mean),kuhar-KNN-5-accuracy (std),kuhar-KNN-5-f1 score (macro) (mean),kuhar-KNN-5-f1 score (macro) (std),kuhar-KNN-5-f1 score (weighted) (mean),kuhar-KNN-5-f1 score (weighted) (std),kuhar-SVM-rbf-C1.0-estimator,kuhar-SVM-rbf-C1.0-accuracy (mean),kuhar-SVM-rbf-C1.0-accuracy (std),kuhar-SVM-rbf-C1.0-f1 score (macro) (mean),kuhar-SVM-rbf-C1.0-f1 score (macro) (std),kuhar-SVM-rbf-C1.0-f1 score (weighted) (mean),kuhar-SVM-rbf-C1.0-f1 score (weighted) (std),motionsense-randomforest-100-estimator,motionsense-randomforest-100-accuracy (mean),motionsense-randomforest-100-accuracy (std),motionsense-randomforest-100-f1 score (macro) (mean),motionsense-randomforest-100-f1 score (macro) (std),motionsense-randomforest-100-f1 score (weighted) (mean),motionsense-randomforest-100-f1 score (weighted) (std),motionsense-KNN-5-estimator,motionsense-KNN-5-accuracy (mean),motionsense-KNN-5-accuracy (std),motionsense-KNN-5-f1 score (macro) (mean),motionsense-KNN-5-f1 score (macro) (std),motionsense-KNN-5-f1 score (weighted) (mean),motionsense-KNN-5-f1 score (weighted) (std),motionsense-SVM-rbf-C1.0-estimator,motionsense-SVM-rbf-C1.0-accuracy (mean),motionsense-SVM-rbf-C1.0-accuracy (std),motionsense-SVM-rbf-C1.0-f1 score (macro) (mean),motionsense-SVM-rbf-C1.0-f1 score (macro) (std),motionsense-SVM-rbf-C1.0-f1 score (weighted) (mean),motionsense-SVM-rbf-C1.0-f1 score (weighted) (std),uci-randomforest-100-estimator,uci-randomforest-100-accuracy (mean),uci-randomforest-100-accuracy (std),uci-randomforest-100-f1 score (macro) (mean),uci-randomforest-100-f1 score (macro) (std),uci-randomforest-100-f1 score (weighted) (mean),uci-randomforest-100-f1 score (weighted) (std),uci-KNN-5-estimator,uci-KNN-5-accuracy (mean),uci-KNN-5-accuracy (std),uci-KNN-5-f1 score (macro) (mean),uci-KNN-5-f1 score (macro) (std),uci-KNN-5-f1 score (weighted) (mean),uci-KNN-5-f1 score (weighted) (std),uci-SVM-rbf-C1.0-estimator,uci-SVM-rbf-C1.0-accuracy (mean),uci-SVM-rbf-C1.0-accuracy (std),uci-SVM-rbf-C1.0-f1 score (macro) (mean),uci-SVM-rbf-C1.0-f1 score (macro) (std),uci-SVM-rbf-C1.0-f1 score (weighted) (mean),uci-SVM-rbf-C1.0-f1 score (weighted) (std),wisdm-randomforest-100-estimator,wisdm-randomforest-100-accuracy (mean),wisdm-randomforest-100-accuracy (std),wisdm-randomforest-100-f1 score (macro) (mean),wisdm-randomforest-100-f1 score (macro) (std),wisdm-randomforest-100-f1 score (weighted) (mean),wisdm-randomforest-100-f1 score (weighted) (std),wisdm-KNN-5-estimator,wisdm-KNN-5-accuracy (mean),wisdm-KNN-5-accuracy (std),wisdm-KNN-5-f1 score (macro) (mean),wisdm-KNN-5-f1 score (macro) (std),wisdm-KNN-5-f1 score (weighted) (mean),wisdm-KNN-5-f1 score (weighted) (std),wisdm-SVM-rbf-C1.0-estimator,wisdm-SVM-rbf-C1.0-accuracy (mean),wisdm-SVM-rbf-C1.0-accuracy (std),wisdm-SVM-rbf-C1.0-f1 score (macro) (mean),wisdm-SVM-rbf-C1.0-f1 score (macro) (std),wisdm-SVM-rbf-C1.0-f1 score (weighted) (mean),wisdm-SVM-rbf-C1.0-f1 score (weighted) (std),realworld_thigh-randomforest-100-estimator,realworld_thigh-randomforest-100-accuracy (mean),realworld_thigh-randomforest-100-accuracy (std),realworld_thigh-randomforest-100-f1 score (macro) (mean),realworld_thigh-randomforest-100-f1 score (macro) (std),realworld_thigh-randomforest-100-f1 score (weighted) (mean),realworld_thigh-randomforest-100-f1 score (weighted) (std),realworld_thigh-KNN-5-estimator,realworld_thigh-KNN-5-accuracy (mean),realworld_thigh-KNN-5-accuracy (std),realworld_thigh-KNN-5-f1 score (macro) (mean),realworld_thigh-KNN-5-f1 score (macro) (std),realworld_thigh-KNN-5-f1 score (weighted) (mean),realworld_thigh-KNN-5-f1 score (weighted) (std),realworld_thigh-SVM-rbf-C1.0-estimator,realworld_thigh-SVM-rbf-C1.0-accuracy (mean),realworld_thigh-SVM-rbf-C1.0-accuracy (std),realworld_thigh-SVM-rbf-C1.0-f1 score (macro) (mean),realworld_thigh-SVM-rbf-C1.0-f1 score (macro) (std),realworld_thigh-SVM-rbf-C1.0-f1 score (weighted) (mean),realworld_thigh-SVM-rbf-C1.0-f1 score (weighted) (std),realworld_waist-randomforest-100-estimator,realworld_waist-randomforest-100-accuracy (mean),realworld_waist-randomforest-100-accuracy (std),realworld_waist-randomforest-100-f1 score (macro) (mean),realworld_waist-randomforest-100-f1 score (macro) (std),realworld_waist-randomforest-100-f1 score (weighted) (mean),realworld_waist-randomforest-100-f1 score (weighted) (std),realworld_waist-KNN-5-estimator,realworld_waist-KNN-5-accuracy (mean),realworld_waist-KNN-5-accuracy (std),realworld_waist-KNN-5-f1 score (macro) (mean),realworld_waist-KNN-5-f1 score (macro) (std),realworld_waist-KNN-5-f1 score (weighted) (mean),realworld_waist-KNN-5-f1 score (weighted) (std),realworld_waist-SVM-rbf-C1.0-estimator,realworld_waist-SVM-rbf-C1.0-accuracy (mean),realworld_waist-SVM-rbf-C1.0-accuracy (std),realworld_waist-SVM-rbf-C1.0-f1 score (macro) (mean),realworld_waist-SVM-rbf-C1.0-f1 score (macro) (std),realworld_waist-SVM-rbf-C1.0-f1 score (weighted) (mean),realworld_waist-SVM-rbf-C1.0-f1 score (weighted) (std),num_params,num_trainable_params,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/latent_dim,config/m_lambda,config/MC-red_dataset-kuhar.standartized_balanced[train],config/MC-red_dataset-motionsense.standartized_balanced[train],config/MC-red_dataset-uci.standartized_balanced[train],config/MC-red_dataset-wisdm.standartized_balanced[train],config/MC-red_dataset-realworld_thigh.standartized_balanced[train],config/MC-red_dataset-realworld_waist.standartized_balanced[train],logdir
0,randomforest-100,0.4387323943661972,0.0119902279710067,0.4490475516523425,0.0118052424523053,0.4490475516523425,0.011805242452305277,KNN-5,0.39436619718309857,0.0,0.39263028876228523,0.0,0.3926302887622853,0.0,SVM-rbf-C1.0,0.4272300469483568,0.0,0.421125344240751,0.0,0.421125344240751,0.0,randomforest-100,0.49119047619047623,0.007971747163230096,0.4974880061700744,0.007265499876513945,0.4974880061700744,0.0072654998765139716,KNN-5,0.4738095238095238,0.0,0.47749250469848487,0.0,0.4774925046984848,0.0,SVM-rbf-C1.0,0.4857142857142857,0.0,0.45478281051448316,0.0,0.4547828105144831,0.0,randomforest-100,0.5335294117647058,0.015406824533775053,0.5331084917660815,0.015679565116112147,0.5331084917660817,0.015679565116112147,KNN-5,0.48823529411764705,0.0,0.48680549450549454,0.0,0.4868054945054945,0.0,SVM-rbf-C1.0,0.5264705882352941,0.0,0.45971646849426434,0.0,0.45971646849426423,0.0,randomforest-100,0.5567796610169491,0.004419798240815347,0.5646119954531372,0.0041661629815601476,0.5646119954531372,0.004166162981560164,KNN-5,0.55,0.0,0.5587143939859531,0.0,0.558714393985953,0.0,SVM-rbf-C1.0,0.5508474576271186,0.0,0.5034461047745757,0.0,0.5034461047745757,0.0,randomforest-100,0.5125134843581446,0.005194821630133572,0.5153827938311047,0.005118116130476659,0.5153827938311047,0.0051181161304766675,KNN-5,0.48327939590075514,0.0,0.485980158480537,0.0,0.485980158480537,0.0,SVM-rbf-C1.0,0.47303128371089537,0.0,0.44177403634275864,0.0,0.4417740363427586,0.0,randomforest-100,0.5656957928802588,0.005228315346732536,0.5637303998329718,0.005098144044195579,0.5637303998329718,0.005098144044195597,KNN-5,0.5458468176914779,0.0,0.5424758080130238,0.0,0.5424758080130236,0.0,SVM-rbf-C1.0,0.5550161812297735,0.0,0.5074111636446387,0.0,0.5074111636446387,0.0,234146,234146,0.6879425384739292,1709411743,True,1,91287ca5,2024-03-02_20-35-43,1019.1240990161896,1019.1240990161896,27160,1d43726c602a,172.17.0.2,1019.1240990161896,1,,128,3,3,1.4888662300771223,1,0,1,1,1,1,91287ca5
1,randomforest-100,0.5136150234741784,0.008252767995890578,0.5168700596719008,0.007886462631246418,0.5168700596719008,0.007886462631246427,KNN-5,0.4671361502347418,0.0,0.46806966804912614,0.0,0.4680696680491262,0.0,SVM-rbf-C1.0,0.47417840375586856,0.0,0.4179026746789207,0.0,0.41790267467892067,0.0,randomforest-100,0.5164285714285713,0.013403302804797682,0.5135589902000793,0.013650923479921582,0.5135589902000794,0.013650923479921603,KNN-5,0.5,0.0,0.5018574219009531,0.0,0.5018574219009531,0.0,SVM-rbf-C1.0,0.4714285714285714,0.0,0.41884902850152556,0.0,0.4188490285015256,0.0,randomforest-100,0.6155882352941175,0.011545756721406194,0.6141845666690418,0.011855628595704448,0.6141845666690416,0.011855628595704458,KNN-5,0.55,0.0,0.5497883278524041,0.0,0.5497883278524041,0.0,SVM-rbf-C1.0,0.5911764705882353,0.0,0.5503299452320058,0.0,0.550329945232006,0.0,randomforest-100,0.6136440677966102,0.008826994323371461,0.6170053931324204,0.008697580976486145,0.6170053931324204,0.008697580976486156,KNN-5,0.5584745762711865,0.0,0.5661258361921908,0.0,0.5661258361921907,0.0,SVM-rbf-C1.0,0.5754237288135593,0.0,0.513296413646958,0.0,0.5132964136469579,0.0,randomforest-100,0.4564185544768069,0.004340539274807058,0.4434960179277331,0.004220426595665656,0.4434960179277331,0.00422042659566566,KNN-5,0.42772384034519956,0.0,0.4322486498393297,0.0,0.4322486498393297,0.0,SVM-rbf-C1.0,0.46062567421790723,0.0,0.4321790224859587,0.0,0.4321790224859587,0.0,randomforest-100,0.6357065803667745,0.0025889967637540375,0.6335905599097357,0.0025860130527176227,0.6335905599097356,0.0025860130527176417,KNN-5,0.5900755124056095,0.0,0.5835500734044764,0.0,0.5835500734044764,0.0,SVM-rbf-C1.0,0.6057173678532902,0.0,0.5648359211341054,0.0,0.5648359211341055,0.0,609315,609315,0.7424838439293628,1709411658,False,1,f15e6ef1,2024-03-02_20-34-18,928.323588848114,928.323588848114,27265,1d43726c602a,172.17.0.2,928.323588848114,1,,64,7,8,1.5095510478642507,0,0,0,0,1,1,f15e6ef1
2,randomforest-100,0.5640845070422535,0.008531822462622662,0.5689223864399249,0.008798621569637361,0.5689223864399249,0.008798621569637382,KNN-5,0.5328638497652582,0.0,0.528230001581348,0.0,0.528230001581348,0.0,SVM-rbf-C1.0,0.5328638497652582,0.0,0.4811237016861663,0.0,0.48112370168616625,0.0,randomforest-100,0.5333333333333334,0.011318918403814025,0.5392020691899926,0.011384610955469294,0.5392020691899926,0.011384610955469303,KNN-5,0.5571428571428572,0.0,0.5647078800101338,0.0,0.564707880010134,0.0,SVM-rbf-C1.0,0.5095238095238095,0.0,0.4687394445359298,0.0,0.46873944453592986,0.0,randomforest-100,0.6141176470588234,0.020112142349739726,0.6109343384175594,0.019957241346023367,0.6109343384175594,0.019957241346023374,KNN-5,0.5794117647058824,0.0,0.5810035016820261,0.0,0.5810035016820261,0.0,SVM-rbf-C1.0,0.5911764705882353,0.0,0.5231320279769865,0.0,0.5231320279769865,0.0,randomforest-100,0.6549152542372881,0.006735022537730684,0.6610613436257137,0.00670521971313413,0.6610613436257137,0.0067052197131341,KNN-5,0.6093220338983051,0.0,0.6159441578538304,0.0,0.6159441578538305,0.0,SVM-rbf-C1.0,0.5932203389830508,0.0,0.5396400953924979,0.0,0.5396400953924979,0.0,randomforest-100,0.5599244875943906,0.0038325952369990287,0.5627621299971544,0.003468131309669759,0.5627621299971544,0.003468131309669726,KNN-5,0.5080906148867314,0.0,0.5121424193072407,0.0,0.5121424193072407,0.0,SVM-rbf-C1.0,0.4859762675296656,0.0,0.4518112665470399,0.0,0.4518112665470399,0.0,randomforest-100,0.6468716289104639,0.005065813315828922,0.6477518112699661,0.005169605897173419,0.6477518112699661,0.005169605897173393,KNN-5,0.610032362459547,0.0,0.6056657022958672,0.0,0.6056657022958672,0.0,SVM-rbf-C1.0,0.616504854368932,0.0,0.5744003896815751,0.0,0.5744003896815753,0.0,614444,614444,0.799567670546848,1709412093,False,1,32deb0b7,2024-03-02_20-41-33,1344.2096073627472,1344.2096073627472,27307,1d43726c602a,172.17.0.2,1344.2096073627472,1,,128,7,11,1.0423968723244483,1,0,1,1,1,1,32deb0b7
3,randomforest-100,0.4685446009389672,0.011509531147541089,0.4770208433983649,0.011444843761760819,0.4770208433983649,0.011444843761760824,KNN-5,0.38497652582159625,0.0,0.3862144786142095,0.0,0.38621447861420954,0.0,SVM-rbf-C1.0,0.45774647887323944,0.0,0.41012875309278113,0.0,0.4101287530927812,0.0,randomforest-100,0.5976190476190476,0.010806481636104976,0.603527882234544,0.01020101841995984,0.6035278822345441,0.010201018419959823,KNN-5,0.5142857142857142,0.0,0.5226588019606161,0.0,0.5226588019606162,0.0,SVM-rbf-C1.0,0.4976190476190476,0.0,0.47509651083171534,0.0,0.4750965108317153,0.0,randomforest-100,0.6355882352941176,0.011500714585892443,0.631948932235004,0.011970830213520939,0.631948932235004,0.011970830213520946,KNN-5,0.5676470588235294,0.0,0.5575228271224144,0.0,0.5575228271224144,0.0,SVM-rbf-C1.0,0.638235294117647,0.0,0.5883933241658085,0.0,0.5883933241658086,0.0,randomforest-100,0.6622033898305084,0.011620989638252165,0.6645734304846997,0.011497872621497594,0.6645734304846997,0.011497872621497606,KNN-5,0.6008474576271187,0.0,0.6076080122944809,0.0,0.607608012294481,0.0,SVM-rbf-C1.0,0.6186440677966102,0.0,0.5716945749852758,0.0,0.5716945749852758,0.0,randomforest-100,0.540722761596548,0.007297517359994687,0.5358017677124064,0.008336272582068564,0.5358017677124063,0.008336272582068541,KNN-5,0.47303128371089537,0.0,0.47724742000511244,0.0,0.47724742000511244,0.0,SVM-rbf-C1.0,0.5916936353829557,0.0,0.5857740974473813,0.0,0.5857740974473813,0.0,randomforest-100,0.684519956850054,0.0046614550413834836,0.681811310291213,0.004725679758283994,0.681811310291213,0.004725679758284024,KNN-5,0.6186623516720604,0.0,0.6066628309162447,0.0,0.6066628309162446,0.0,SVM-rbf-C1.0,0.6542610571736786,0.0,0.6343968749701054,0.0,0.6343968749701053,0.0,136161,136161,0.8065347998333184,1709411860,False,1,fc6e79c2,2024-03-02_20-37-40,1106.349514722824,1106.349514722824,27359,1d43726c602a,172.17.0.2,1106.349514722824,1,,64,2,8,1.068470652520108,0,1,0,0,1,1,fc6e79c2
4,randomforest-100,0.537793427230047,0.009058113324682964,0.5434450136931835,0.008666989638917258,0.5434450136931834,0.008666989638917247,KNN-5,0.5117370892018779,0.0,0.5086658682988955,0.0,0.5086658682988955,0.0,SVM-rbf-C1.0,0.5140845070422535,0.0,0.5163212973770569,0.0,0.5163212973770569,0.0,randomforest-100,0.5530952380952381,0.006481265518483916,0.5521452717477615,0.0064406785254152174,0.5521452717477615,0.006440678525415213,KNN-5,0.5095238095238095,0.0,0.5132441409450621,0.0,0.5132441409450621,0.0,SVM-rbf-C1.0,0.45714285714285713,0.0,0.3998259224829259,0.0,0.399825922482926,0.0,randomforest-100,0.508235294117647,0.01631226426336712,0.506620034470309,0.016068185333833578,0.5066200344703089,0.016068185333833564,KNN-5,0.49411764705882355,0.0,0.4887488214718466,0.0,0.4887488214718467,0.0,SVM-rbf-C1.0,0.5176470588235295,0.0,0.4543909977784216,0.0,0.4543909977784217,0.0,randomforest-100,0.6178813559322033,0.0042953647110082,0.6260156375427881,0.004309244349780941,0.626015637542788,0.004309244349780953,KNN-5,0.5864406779661017,0.0,0.595927216064337,0.0,0.5959272160643369,0.0,SVM-rbf-C1.0,0.5542372881355933,0.0,0.5044464796356076,0.0,0.5044464796356075,0.0,randomforest-100,0.5072815533980582,0.004289636925724625,0.5099962391942515,0.00469050009113024,0.5099962391942515,0.004690500091130237,KNN-5,0.46871628910463864,0.0,0.47473334396118716,0.0,0.47473334396118716,0.0,SVM-rbf-C1.0,0.4401294498381877,0.0,0.4034022537259007,0.0,0.4034022537259007,0.0,randomforest-100,0.5618122977346278,0.004789206662442946,0.5564011398899555,0.004792065475955694,0.5564011398899555,0.00479206547595568,KNN-5,0.5447680690399137,0.0,0.5368705837197932,0.0,0.5368705837197932,0.0,SVM-rbf-C1.0,0.5318230852211435,0.0,0.5014412826354836,0.0,0.5014412826354836,0.0,611550,611550,0.7339878522390824,1709411484,True,1,b3631fce,2024-03-02_20-31-24,723.994202375412,723.994202375412,27401,1d43726c602a,172.17.0.2,723.994202375412,1,,64,7,9,0.6566066115673876,1,0,0,1,1,0,b3631fce
5,randomforest-100,0.5967136150234741,0.011050330794309702,0.5958977007678802,0.01138159899082564,0.5958977007678802,0.011381598990825635,KNN-5,0.5140845070422535,0.0,0.5044724363829005,0.0,0.5044724363829005,0.0,SVM-rbf-C1.0,0.48826291079812206,0.0,0.44482569722377874,0.0,0.44482569722377874,0.0,randomforest-100,0.5740476190476189,0.01239239398064105,0.5766631654945692,0.011760176015419071,0.5766631654945692,0.011760176015419071,KNN-5,0.5166666666666667,0.0,0.5154407637713605,0.0,0.5154407637713606,0.0,SVM-rbf-C1.0,0.5,0.0,0.4782541337279867,0.0,0.47825413372798675,0.0,randomforest-100,0.5685294117647058,0.010444282885038056,0.5663403410227662,0.010615076742780718,0.5663403410227662,0.01061507674278072,KNN-5,0.5088235294117647,0.0,0.49972537514348503,0.0,0.499725375143485,0.0,SVM-rbf-C1.0,0.5558823529411765,0.0,0.5193076637927012,0.0,0.5193076637927012,0.0,randomforest-100,0.6616101694915255,0.008128969761437267,0.6644184204631113,0.007846704575461433,0.6644184204631113,0.00784670457546146,KNN-5,0.5966101694915255,0.0,0.6019897521685456,0.0,0.6019897521685456,0.0,SVM-rbf-C1.0,0.6042372881355932,0.0,0.5666736514488934,0.0,0.5666736514488935,0.0,randomforest-100,0.6050161812297734,0.004908306364617037,0.6062681082098578,0.004831577824236796,0.6062681082098578,0.004831577824236802,KNN-5,0.5070118662351673,0.0,0.5033438491506085,0.0,0.5033438491506085,0.0,SVM-rbf-C1.0,0.5183387270765911,0.0,0.49567328174637365,0.0,0.49567328174637365,0.0,randomforest-100,0.6242179072276159,0.005516668290658881,0.6196674689210119,0.0057226474716161975,0.6196674689210118,0.005722647471616241,KNN-5,0.529126213592233,0.0,0.5253373353285585,0.0,0.5253373353285585,0.0,SVM-rbf-C1.0,0.5852211434735707,0.0,0.5570878410512381,0.0,0.5570878410512381,0.0,245126,245126,0.8102372318544929,1709411742,False,1,b7f3b5e2,2024-03-02_20-35-42,974.082982301712,974.082982301712,27448,1d43726c602a,172.17.0.2,974.082982301712,1,,64,3,15,1.3526164972620218,0,0,0,1,1,0,b7f3b5e2
6,randomforest-100,0.5469483568075117,0.012509777084013355,0.5453624565716344,0.012852760877460831,0.5453624565716344,0.012852760877460817,KNN-5,0.5070422535211268,0.0,0.4934291042878778,0.0,0.4934291042878778,0.0,SVM-rbf-C1.0,0.4812206572769953,0.0,0.4351546565673234,0.0,0.4351546565673234,0.0,randomforest-100,0.5473809523809524,0.013571428571428566,0.5522814459054237,0.0132912625073176,0.5522814459054237,0.013291262507317624,KNN-5,0.5142857142857142,0.0,0.51896299447018,0.0,0.51896299447018,0.0,SVM-rbf-C1.0,0.46904761904761905,0.0,0.4052206200023601,0.0,0.40522062000236014,0.0,randomforest-100,0.5997058823529411,0.01536465633718703,0.5978583996485817,0.015451091141699722,0.5978583996485819,0.015451091141699715,KNN-5,0.5470588235294118,0.0,0.5450662549943617,0.0,0.5450662549943618,0.0,SVM-rbf-C1.0,0.5735294117647058,0.0,0.5339627613650442,0.0,0.5339627613650442,0.0,randomforest-100,0.6486440677966103,0.007987709605388587,0.6539659344713532,0.007701804512908246,0.6539659344713532,0.007701804512908238,KNN-5,0.5855932203389831,0.0,0.5918037187843199,0.0,0.59180371878432,0.0,SVM-rbf-C1.0,0.5838983050847457,0.0,0.5247291480419499,0.0,0.5247291480419499,0.0,randomforest-100,0.5669902912621361,0.0030871818816082374,0.5699668958715278,0.0033169898753038817,0.5699668958715278,0.0033169898753038557,KNN-5,0.47950377562028046,0.0,0.4812724175521443,0.0,0.48127241755214434,0.0,SVM-rbf-C1.0,0.42017259978425026,0.0,0.40917953953080816,0.0,0.4091795395308081,0.0,randomforest-100,0.6292340884573895,0.004455636769808711,0.6275960652965875,0.00472199913394245,0.6275960652965876,0.004721999133942413,KNN-5,0.5954692556634305,0.0,0.5843963515461273,0.0,0.5843963515461275,0.0,SVM-rbf-C1.0,0.5555555555555556,0.0,0.5211463699381035,0.0,0.5211463699381035,0.0,437881,437881,0.7870627023340709,1709412496,True,1,f50f7f00,2024-03-02_20-48-16,1721.630158662796,1721.630158662796,27499,1d43726c602a,172.17.0.2,1721.630158662796,1,,128,5,16,2.630749049063892,0,1,0,1,1,1,f50f7f00
7,randomforest-100,0.4457746478873239,0.009416042779404494,0.454422048238015,0.00900083078167115,0.454422048238015,0.009000830781671127,KNN-5,0.4084507042253521,0.0,0.41188483794025954,0.0,0.4118848379402596,0.0,SVM-rbf-C1.0,0.37089201877934275,0.0,0.313989011478228,0.0,0.31398901147822794,0.0,randomforest-100,0.5197619047619046,0.009100721358864954,0.5291818752019173,0.00856747140550081,0.5291818752019173,0.008567471405500827,KNN-5,0.5428571428571428,0.0,0.5496075310993297,0.0,0.5496075310993296,0.0,SVM-rbf-C1.0,0.45476190476190476,0.0,0.42256069593826145,0.0,0.4225606959382614,0.0,randomforest-100,0.578235294117647,0.011925373489831352,0.5755690593705575,0.011979547498786578,0.5755690593705575,0.011979547498786592,KNN-5,0.5529411764705883,0.0,0.5529728725380899,0.0,0.5529728725380899,0.0,SVM-rbf-C1.0,0.55,0.0,0.47467939489995514,0.0,0.47467939489995514,0.0,randomforest-100,0.6099152542372883,0.00669491525423729,0.6139787254488382,0.006550520237252515,0.6139787254488382,0.006550520237252517,KNN-5,0.5711864406779661,0.0,0.5763953192838744,0.0,0.5763953192838746,0.0,SVM-rbf-C1.0,0.5601694915254237,0.0,0.5125034580692702,0.0,0.5125034580692702,0.0,randomforest-100,0.5059331175836029,0.0060303882888343855,0.5045209513758333,0.005873589792367968,0.5045209513758333,0.005873589792367968,KNN-5,0.4622437971952535,0.0,0.46255368159110244,0.0,0.4625536815911025,0.0,SVM-rbf-C1.0,0.4778856526429342,0.0,0.45431203123507463,0.0,0.4543120312350747,0.0,randomforest-100,0.6482740021574973,0.003490964644074327,0.6460087630988378,0.0036173198726208735,0.6460087630988378,0.0036173198726208496,KNN-5,0.6240560949298813,0.0,0.6192504718695503,0.0,0.6192504718695504,0.0,SVM-rbf-C1.0,0.6051779935275081,0.0,0.5531498859783518,0.0,0.5531498859783518,0.0,520580,520580,0.7369529083496165,1709411259,False,1,808b0170,2024-03-02_20-27-39,473.19454288482666,473.19454288482666,27542,1d43726c602a,172.17.0.2,473.19454288482666,1,,64,6,9,0.25544822287236046,0,1,0,0,0,1,808b0170
8,randomforest-100,0.5816901408450704,0.006947722341290479,0.5831703417228187,0.006934172657129351,0.5831703417228187,0.006934172657129352,KNN-5,0.528169014084507,0.0,0.5264622693546636,0.0,0.5264622693546634,0.0,SVM-rbf-C1.0,0.5305164319248826,0.0,0.5215980577366375,0.0,0.5215980577366375,0.0,randomforest-100,0.5888095238095238,0.005221836237966959,0.5856532325629554,0.005343960836353298,0.5856532325629554,0.005343960836353283,KNN-5,0.5523809523809524,0.0,0.5524420270366505,0.0,0.5524420270366506,0.0,SVM-rbf-C1.0,0.5261904761904762,0.0,0.5026169537585704,0.0,0.5026169537585704,0.0,randomforest-100,0.5549999999999999,0.015566021908704993,0.5522446130309051,0.0158257994304717,0.5522446130309051,0.015825799430471705,KNN-5,0.5323529411764706,0.0,0.5262503999241612,0.0,0.526250399924161,0.0,SVM-rbf-C1.0,0.4970588235294118,0.0,0.44333642494713715,0.0,0.44333642494713715,0.0,randomforest-100,0.6163559322033898,0.0057981215196940125,0.6205287056936304,0.005531242626136837,0.6205287056936304,0.005531242626136817,KNN-5,0.5711864406779661,0.0,0.5794131446321468,0.0,0.5794131446321467,0.0,SVM-rbf-C1.0,0.6016949152542372,0.0,0.6001551679295106,0.0,0.6001551679295107,0.0,randomforest-100,0.5133225458468178,0.005404789121070961,0.5120593751941648,0.005452930863690468,0.5120593751941648,0.005452930863690468,KNN-5,0.44660194174757284,0.0,0.44357282106429435,0.0,0.4435728210642944,0.0,SVM-rbf-C1.0,0.46116504854368934,0.0,0.41800256758346593,0.0,0.41800256758346593,0.0,randomforest-100,0.5885113268608414,0.006018073723029768,0.5840637922179137,0.0060375972070314966,0.5840637922179137,0.006037597207031502,KNN-5,0.535059331175836,0.0,0.5298345791603839,0.0,0.5298345791603838,0.0,SVM-rbf-C1.0,0.540453074433657,0.0,0.48848767212227995,0.0,0.48848767212228,0.0,241564,241564,0.7665626562426132,1709412267,True,1,a56a9a2e,2024-03-02_20-44-27,1473.584372997284,1473.584372997284,27594,1d43726c602a,172.17.0.2,1473.584372997284,1,,128,3,11,2.8167552701531338,0,0,1,1,1,0,a56a9a2e
9,randomforest-100,0.5715962441314555,0.008414764473678388,0.5770333401405666,0.00827304448937352,0.5770333401405666,0.008273044489373533,KNN-5,0.4765258215962441,0.0,0.48348930310752175,0.0,0.4834893031075217,0.0,SVM-rbf-C1.0,0.568075117370892,0.0,0.5187680693149689,0.0,0.518768069314969,0.0,randomforest-100,0.5426190476190477,0.009491014965711798,0.5499697500551725,0.009204816148551837,0.5499697500551723,0.009204816148551858,KNN-5,0.5523809523809524,0.0,0.5575088435424672,0.0,0.5575088435424672,0.0,SVM-rbf-C1.0,0.4880952380952381,0.0,0.453450169346369,0.0,0.453450169346369,0.0,randomforest-100,0.5658823529411764,0.014360653665569064,0.560993818581661,0.015530357533633219,0.560993818581661,0.01553035753363322,KNN-5,0.5441176470588235,0.0,0.54052181433204,0.0,0.54052181433204,0.0,SVM-rbf-C1.0,0.5264705882352941,0.0,0.4723301968335888,0.0,0.4723301968335888,0.0,randomforest-100,0.6301694915254237,0.007951663800501628,0.6361437584913678,0.007767927569688102,0.6361437584913678,0.007767927569688083,KNN-5,0.6161016949152542,0.0,0.6223391857774307,0.0,0.6223391857774307,0.0,SVM-rbf-C1.0,0.5872881355932204,0.0,0.5359521458648695,0.0,0.5359521458648695,0.0,randomforest-100,0.5686623516720604,0.005500824868251435,0.5718164627015079,0.0050524532045154846,0.571816462701508,0.005052453204515475,KNN-5,0.5140237324703344,0.0,0.5187171633929373,0.0,0.5187171633929372,0.0,SVM-rbf-C1.0,0.5285868392664509,0.0,0.4815583224348943,0.0,0.48155832243489427,0.0,randomforest-100,0.5892664509169363,0.007567596710524537,0.5852999323147959,0.0077328726918096495,0.585299932314796,0.007732872691809616,KNN-5,0.5539374325782093,0.0,0.5466478727606535,0.0,0.5466478727606535,0.0,SVM-rbf-C1.0,0.5744336569579288,0.0,0.5501209233647266,0.0,0.5501209233647266,0.0,609315,609315,0.7754952883083838,1709411934,True,1,550ffc5f,2024-03-02_20-38-54,1130.981243133545,1130.981243133545,27640,1d43726c602a,172.17.0.2,1130.981243133545,1,,64,7,8,1.342355065997179,1,0,1,1,1,0,550ffc5f
