,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir
917,0.3051643192488263,0.3011737089201878,0.006560182447174695,0.24466694961260976,0.007784424234535536,0.24466694961260976,0.00778442423453554,0.3051643192488263,0.0,0.24563749705951543,0.0,0.2456374970595154,0.0,0.3004694835680751,0.0,0.26119440909162045,0.0,0.2611944090916205,0.0,-1,-1,1701442858,True,1,4629c8e7,2023-12-01_15-00-58,17.0482816696167,17.0482816696167,416736,d49c071550b4,172.17.0.2,17.0482816696167,1,,9,0.07738799516852102,1.4345230642776603,18,450,4629c8e7
918,0.34976525821596244,0.3194835680751174,0.00976085581516047,0.25987369968871254,0.010598777873831844,0.25987369968871254,0.010598777873831865,0.26291079812206575,0.0,0.19368985411995354,0.0,0.19368985411995351,0.0,0.34976525821596244,0.0,0.3027743106294243,0.0,0.30277431062942434,0.0,-1,-1,1701442861,True,1,d2643d38,2023-12-01_15-01-01,19.972824096679688,19.972824096679688,396778,d49c071550b4,172.17.0.2,19.972824096679688,1,,35,0.3476579154276481,1.3729513302157101,22,361,d2643d38
919,0.3380281690140845,0.30962441314553996,0.007675015363507898,0.23191542558235065,0.007778491222531763,0.23191542558235065,0.0077784912225317675,0.24647887323943662,0.0,0.1672296864133599,0.0,0.1672296864133599,0.0,0.3380281690140845,0.0,0.28139823507244793,0.0,0.281398235072448,0.0,-1,-1,1701442867,True,1,1cd58eb6,2023-12-01_15-01-07,21.78602409362793,21.78602409362793,412549,d49c071550b4,172.17.0.2,21.78602409362793,1,,31,0.3891549743595321,1.045004348732674,48,311,1cd58eb6
920,0.38028169014084506,0.3223004694835681,0.009274528762975786,0.28904134124216185,0.010250667920108524,0.28904134124216185,0.010250667920108524,0.323943661971831,0.0,0.2871762704655298,0.0,0.2871762704655298,0.0,0.38028169014084506,0.0,0.3334422273914792,0.0,0.33344222739147916,0.0,-1,-1,1701442864,False,1,8e47ac58,2023-12-01_15-01-04,13.161220073699951,13.161220073699951,419069,d49c071550b4,172.17.0.2,13.161220073699951,1,,5,0.17695049598603213,1.3257286819767327,6,465,8e47ac58
921,0.284037558685446,0.25704225352112675,0.006576960434799018,0.20134514883389842,0.008226692276462248,0.20134514883389842,0.008226692276462241,0.27230046948356806,0.0,0.19639052964701662,0.0,0.1963905296470166,0.0,0.284037558685446,0.0,0.26824472274597305,0.0,0.26824472274597305,0.0,-1,-1,1701442898,True,1,8b860fbc,2023-12-01_15-01-38,23.38898730278015,23.38898730278015,410098,d49c071550b4,172.17.0.2,23.38898730278015,1,,33,0.11815875347036198,1.0206928816362764,32,555,8b860fbc
922,0.3375586854460094,0.3375586854460094,0.012052110472294306,0.31449276100767326,0.009490924791986101,0.31449276100767326,0.009490924791986112,0.3075117370892019,0.0,0.27881461624175424,0.0,0.27881461624175424,0.0,0.21830985915492956,0.0,0.1740004210349038,0.0,0.17400042103490376,0.0,-1,-1,1701442893,True,1,a01d9914,2023-12-01_15-01-33,18.480632066726685,18.480632066726685,412549,d49c071550b4,172.17.0.2,18.480632066726685,1,,28,0.2959293291205333,0.9029511047541909,2,445,a01d9914
923,0.38497652582159625,0.3234741784037559,0.004038650360113912,0.2766210271239147,0.004879656490311719,0.2766210271239147,0.00487965649031169,0.26291079812206575,0.0,0.20905793326504077,0.0,0.2090579332650407,0.0,0.38497652582159625,0.0,0.33980043801904186,0.0,0.3398004380190419,0.0,-1,-1,1701442893,False,1,c9a4848b,2023-12-01_15-01-33,18.036473274230957,18.036473274230957,396778,d49c071550b4,172.17.0.2,18.036473274230957,1,,32,0.26167584332159055,1.200137839109297,12,327,c9a4848b
924,0.3615023474178404,0.3237089201877934,0.004862045816246002,0.26681537871871536,0.004057842841330282,0.2668153787187153,0.0040578428413302935,0.25586854460093894,0.0,0.20123580381208891,0.0,0.2012358038120889,0.0,0.3615023474178404,0.0,0.3149606911922835,0.0,0.3149606911922835,0.0,-1,-1,1701442897,True,1,60824e44,2023-12-01_15-01-37,21.35407280921936,21.35407280921936,419069,d49c071550b4,172.17.0.2,21.35407280921936,1,,34,0.21592620633947618,1.1160399957900664,16,520,60824e44
925,0.3544600938967136,0.34600938967136147,0.006572769953051638,0.282261851762652,0.006230786256019318,0.282261851762652,0.006230786256019315,0.2699530516431925,0.0,0.19783473886167327,0.0,0.1978347388616733,0.0,0.3544600938967136,0.0,0.3081075230090486,0.0,0.3081075230090486,0.0,-1,-1,1701442898,True,1,816d29a2,2023-12-01_15-01-38,22.725717544555664,22.725717544555664,419360,d49c071550b4,172.17.0.2,22.725717544555664,1,,34,0.32595390395734436,0.9826803068619734,27,530,816d29a2
926,0.3427230046948357,0.32582159624413143,0.005633802816901408,0.27555496994637985,0.004463361496399575,0.27555496994637985,0.004463361496399575,0.2676056338028169,0.0,0.21397510942361442,0.0,0.21397510942361442,0.0,0.3427230046948357,0.0,0.302948301305106,0.0,0.302948301305106,0.0,-1,-1,1701442898,True,1,aa5334cc,2023-12-01_15-01-38,21.793001890182495,21.793001890182495,412803,d49c071550b4,172.17.0.2,21.793001890182495,1,,32,0.37622300193755615,0.23576778729857129,20,575,aa5334cc
